Ste,Et,Cpt gen.,Nat,Auxiliaire,Libelle CG,Libelle(suite),Exer,Pr,Dt piece,Chrono,n[piece,Jrn,Type,Libelle 1,Libelle 2,Et Pce,Nat pie,N[audit,Jrn ref,Refer,Echeance,MR,Nat,Cpt ana,Nat ana -2-,  Compte analytique   rang 2,Nat ana -3-,  Compte analytique   rang 3,Debit,Credit,Solde,Dev,L,L/P,n[conso,Cg c/partie,Cte Auxil c/partie,Reg TVA,Tx TVA,Debit devise,credit devise,Solde Dev.,Dev
1,,440000,FOU,66008,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94401,572,ACM,FACTF,900020264,,1,0,,PBN,27203,27/04/2018,SE,,,,,,,,"1934,68","-1934,68",EUR,,0,0,613136,,,0,,"1934,68","-1934,68",EUR
1,,440000,FOU,66008,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94414,497,ACM,FACTF,900020244,,1,0,,PBN,27203,26/04/2018,SE,,,,,,,,"836,32","-836,32",EUR,,0,0,604000,,,0,,"836,32","-836,32",EUR
1,,440000,FOU,66008,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94415,595,ACM,FACTF,900020276,,1,0,,PBN,27203,28/04/2018,SE,,,,,,,,"89380,93","-89380,93",EUR,,0,0,613136,,,0,,"89380,93","-89380,93",EUR
1,,440000,FOU,66008,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94489,606,ACM,FACTF,900020286,,1,0,,PBN,27203,29/04/2018,SE,,,,,,,,"3077,94","-3077,94",EUR,,0,0,613136,,,0,,"3077,94","-3077,94",EUR
1,,440000,FOU,66008,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94498,639,ACM,FACTF,900020277,,1,0,,PBN,27203,28/04/2018,SE,,,,,,,,"269,96","-269,96",EUR,,0,0,604000,,,0,,"269,96","-269,96",EUR
1,,440000,FOU,66050,FOURNISSEURS MARCHANDISES,,2018,6,31/03/2018,94494,632,ACM,FACTF,1701960,,1,0,,PBN,27204,27/04/2018,SE,,,,,,,,"66,95","-66,95",EUR,,0,0,604100,,,0,,"66,95","-66,95",EUR
1,,440000,FOU,66200,FOURNISSEURS MARCHANDISES,,2018,6,27/03/2018,94042,33,ACM,FACTF,8020222382,,1,0,,PBN,27207,30/04/2018,SE,,,,,,,,"11075,07","-11075,07",EUR,,0,0,604000,,,0,,"11075,07","-11075,07",EUR
1,,440000,FOU,66200,FOURNISSEURS MARCHANDISES,,2018,6,27/03/2018,94047,98,ACM,FACTF,8020222530,,1,0,,PBN,27207,30/04/2018,SE,,,,,,,,"3688,45","-3688,45",EUR,,0,0,604000,,,0,,"3688,45","-3688,45",EUR
1,,440000,FOU,66200,FOURNISSEURS MARCHANDISES,,2018,6,27/03/2018,94048,108,ACM,FACTF,8020222747,,1,0,,PBN,27207,30/04/2018,SE,,,,,,,,"11736,32","-11736,32",EUR,,0,0,604000,,,0,,"11736,32","-11736,32",EUR
1,,440000,FOU,66200,FOURNISSEURS MARCHANDISES,,2018,6,27/03/2018,94053,167,ACM,FACTF,8020222670,,1,0,,PBN,27207,30/04/2018,SE,,,,,,,,"1837,04","-1837,04",EUR,,0,0,604000,,,0,,"1837,04","-1837,04",EUR
1,,440000,FOU,66200,FOURNISSEURS MARCHANDISES,,2018,6,27/03/2018,94057,206,ACM,FACTF,8020222748,,1,0,,PBN,27207,30/04/2018,SE,,,,,,,,"6416,06","-6416,06",EUR,,0,0,604000,,,0,,"6416,06","-6416,06",EUR
1,,440000,FOU,66200,FOURNISSEURS MARCHANDISES,,2018,6,27/03/2018,94062,265,ACM,FACTF,8020223025,,1,0,,PBN,27207,30/04/2018,SE,,,,,,,,"6255,7","-6255,7",EUR,,0,0,604000,,,0,,"6255,7","-6255,7",EUR
1,,440000,FOU,66200,FOURNISSEURS MARCHANDISES,,2018,6,27/03/2018,94064,273,ACM,FACTF,8020223097,,1,0,,PBN,27207,30/04/2018,SE,,,,,,,,"270,3","-270,3",EUR,,0,0,604000,,,0,,"270,3","-270,3",EUR
