id/id,code_intrastat
__import__.product_5555550_product_template,90189060
__import__.product_7314026_product_template,23091051
__import__.product_5810183_product_template,23091051
__import__.product_5823130_product_template,23091031
__import__.product_5055127_product_template,30023000
__import__.product_5022103_product_template,90189084
__import__.product_5172828_product_template,90189060
__import__.product_4270007_product_template,23091051
__import__.product_4006021_product_template,23091031
__import__.product_4500244_product_template,23091031
__import__.product_7149453_product_template,30061090
__import__.product_8196468_product_template,90189084
__import__.product_5192723_product_template,23099096
__import__.product_5620888_product_template,90189060
__import__.product_8270160_product_template,90183900
__import__.product_1575315_product_template,63079092
__import__.product_5192034_product_template,23099096
__import__.product_3122465_product_template,30043900
__import__.product_8124629_product_template,23099096
__import__.product_4220002_product_template,23091051
__import__.product_1399518_product_template,30049000
__import__.product_6827563_product_template,23091011
__import__.product_5822102_product_template,23091011
__import__.product_6891721_product_template,30023000
__import__.product_1238060_product_template,23091051
__import__.product_2881548_product_template,30043900
__import__.product_5300865_product_template,90183110
__import__.product_8270065_product_template,90183110
__import__.product_6352913_product_template,90183110
__import__.product_1237304_product_template,23091051
__import__.product_1237115_product_template,23091051
__import__.product_0159980_product_template,23091051
__import__.product_1231021_product_template,23091051
__import__.product_1231025_product_template,23091051
__import__.product_0159800_product_template,23091051
__import__.product_1230043_product_template,23091051
__import__.product_2877876_product_template,23091051
__import__.product_3004140_product_template,23091011
__import__.product_3023140_product_template,30049000
__import__.product_4007122_product_template,23091031
__import__.product_5828965_product_template,23091031
__import__.product_8012296_product_template,30061090
__import__.product_1238049_product_template,23091051
__import__.product_3433943_product_template,30049000
__import__.product_5823402_product_template,30023000
__import__.product_5394012_product_template,23099096
__import__.product_5394016_product_template,23099096
__import__.product_5438024_product_template,90183110
__import__.product_6197020_product_template,33049900
__import__.product_8121909_product_template,23099096
__import__.product_8270156_product_template,90183900
__import__.product_5822844_product_template,23091051
__import__.product_1391614_product_template,34022090
__import__.product_0470021_product_template,29411000
__import__.product_5822116_product_template,23091011
__import__.product_5829181_product_template,23091051
__import__.product_3145034_product_template,23091031
__import__.product_4180202_product_template,23091031
__import__.product_4250002_product_template,23091051
__import__.product_8219293_product_template,90183110
__import__.product_1232404_product_template,23091051
__import__.product_1250840_product_template,23091051
__import__.product_8017916_product_template,90189084
__import__.product_8359367_product_template,90189050
__import__.product_5962010_product_template,23099031
__import__.product_4160123_product_template,23091051
__import__.product_4006025_product_template,23091031
__import__.product_4500264_product_template,23091031
__import__.product_4500282_product_template,23091031
__import__.product_8012511_product_template,30061090
__import__.product_7149423_product_template,30061090
__import__.product_1705557_product_template,30021500
__import__.product_6197014_product_template,29369000
__import__.product_5840302_product_template,29362800
__import__.product_6828886_product_template,23091051
__import__.product_7974455_product_template,34013000
__import__.product_5840336_product_template,29362700
__import__.product_4250204_product_template,23091051
__import__.product_2675270_product_template,30049000
__import__.product_4214014_product_template,23091031
__import__.product_3187069_product_template,29369000
__import__.product_3187903_product_template,30049000
__import__.product_5317839_product_template,23091031
__import__.product_5203010_product_template,23091031
__import__.product_5317639_product_template,23091031
__import__.product_5361791_product_template,23091011
__import__.product_5317669_product_template,23091031
__import__.product_5317769_product_template,23091031
__import__.product_5361775_product_template,23091031
__import__.product_4230132_product_template,23091051
__import__.product_2732931_product_template,23091051
__import__.product_0840892_product_template,30021500
__import__.product_1250884_product_template,23091051
__import__.product_3032877_product_template,30049000
__import__.product_2251866_product_template,30023000
__import__.product_4901407_product_template,23091011
__import__.product_1202233_product_template,30023000
__import__.product_4250112_product_template,23091051
__import__.product_4250106_product_template,23091051
__import__.product_5112378_product_template,90183110
__import__.product_0159930_product_template,23091051
__import__.product_0159880_product_template,23091051
__import__.product_1250834_product_template,23091051
__import__.product_1405177_product_template,90189084
__import__.product_5260023_product_template,23091051
__import__.product_2923696_product_template,23091011
__import__.product_5003200_product_template,90189060
__import__.product_4005901_product_template,23091031
__import__.product_4500324_product_template,23091031
__import__.product_0458265_product_template,29413000
__import__.product_3381274_product_template,23099096
__import__.product_3433893_product_template,30049000
__import__.product_1050270_product_template,23091090
__import__.product_5603576_product_template,23091031
__import__.product_5221014_product_template,23091011
__import__.product_5221043_product_template,23091011
__import__.product_5221115_product_template,23091011
__import__.product_3748753_product_template,30049000
__import__.product_2026524_product_template,33051000
__import__.product_1427657_product_template,33051000
__import__.product_1113133_product_template,29369000
__import__.product_1535780_product_template,33051000
__import__.product_1274562_product_template,29362200
__import__.product_0450270_product_template,29362800
__import__.product_5391000_product_template,29362500
__import__.product_1848597_product_template,29369000
__import__.product_0284794_product_template,29362800
__import__.product_2898062_product_template,33061000
__import__.product_3080215_product_template,29362400
__import__.product_8031170_product_template,38220000
__import__.product_2720779_product_template,29394100
__import__.product_8278485_product_template,23091051
__import__.product_8061857_product_template,90189050
__import__.product_8031023_product_template,38220000
__import__.product_8238787_product_template,38220000
__import__.product_8062503_product_template,90189084
__import__.product_8292396_product_template,38220000
__import__.product_8292479_product_template,38220000
__import__.product_8044787_product_template,85109000
__import__.product_8069244_product_template,38220000
__import__.product_8240169_product_template,38220000
__import__.product_8069267_product_template,38220000
__import__.product_0097899_product_template,29362700
__import__.product_8012451_product_template,30061090
__import__.product_8252132_product_template,90189060
__import__.product_8180846_product_template,38220000
__import__.product_8365416_product_template,90183210
__import__.product_5437510_product_template,39235090
__import__.product_5829264_product_template,23091031
__import__.product_5315112_product_template,23091031
__import__.product_2164374_product_template,30049000
__import__.product_5365234_product_template,23091031
__import__.product_0250563_product_template,30049000
__import__.product_5170215_product_template,34022090
__import__.product_5165001_product_template,30051000
__import__.product_5825516_product_template,23091031
__import__.product_8361418_product_template,39140000
__import__.product_1331313_product_template,30049000
__import__.product_3129657_product_template,30049000
__import__.product_2927879_product_template,30023000
__import__.product_5112373_product_template,90183110
__import__.product_2828440_product_template,30049000
__import__.product_4500284_product_template,23091031
__import__.product_5828662_product_template,23091051
__import__.product_5065833_product_template,23091011
__import__.product_8288489_product_template,90189084
__import__.product_0296442_product_template,30049000
__import__.product_4344073_product_template,23099096
__import__.product_2907327_product_template,29371200
__import__.product_7644137_product_template,90183900
__import__.product_2751410_product_template,30023000
__import__.product_5317719_product_template,23091031
__import__.product_5317979_product_template,23091031
__import__.product_5361797_product_template,23091031
__import__.product_5942547_product_template,40151100
__import__.product_4230102_product_template,23091051
__import__.product_4110005_product_template,23091051
__import__.product_5826199_product_template,23091031
__import__.product_0600163_product_template,30023000
__import__.product_7110003_product_template,30023000
__import__.product_4250014_product_template,23091051
__import__.product_1239099_product_template,23091051
__import__.product_2263267_product_template,30023000
__import__.product_4391055_product_template,33051000
__import__.product_5260015_product_template,23091051
__import__.product_4270141_product_template,23091031
__import__.product_4009036_product_template,23091031
__import__.product_5821726_product_template,23091051
__import__.product_5828966_product_template,23091031
__import__.product_4213002_product_template,23091051
__import__.product_3444304_product_template,30023000
__import__.product_3498995_product_template,30023000
__import__.product_3606720_product_template,30023000
__import__.product_5603560_product_template,23091031
__import__.product_2936706_product_template,30049000
__import__.product_1250922_product_template,23091051
__import__.product_2770307_product_template,23091031
__import__.product_5821700_product_template,23091051
__import__.product_7420032_product_template,30049000
__import__.product_5314012_product_template,23091031
__import__.product_2864189_product_template,30023000
__import__.product_2864163_product_template,30023000
__import__.product_1238083_product_template,23091031
__import__.product_8222645_product_template,23091031
__import__.product_8114900_product_template,23091051
__import__.product_5827749_product_template,23091031
__import__.product_4260102_product_template,23091051
__import__.product_3048741_product_template,30049000
__import__.product_5300912_product_template,90183110
__import__.product_8002487_product_template,90183110
__import__.product_6975116_product_template,30023000
__import__.product_1232215_product_template,23091051
__import__.product_1232512_product_template,23091051
__import__.product_1232005_product_template,23091051
__import__.product_2673973_product_template,30049000
__import__.product_2877835_product_template,23091051
__import__.product_5260003_product_template,23091051
__import__.product_5260102_product_template,23091051
__import__.product_2357648_product_template,23091051
__import__.product_2923720_product_template,23091011
__import__.product_4500265_product_template,23091031
__import__.product_4500285_product_template,23091031
__import__.product_5810544_product_template,23091031
__import__.product_6742872_product_template,30023000
__import__.product_1010280_product_template,40151100
__import__.product_3381282_product_template,23099096
__import__.product_3381308_product_template,23099096
__import__.product_3233798_product_template,30042000
__import__.product_5032164_product_template,90189010
__import__.product_3621174_product_template,30021500
__import__.product_5603578_product_template,23091031
__import__.product_5603551_product_template,23091051
__import__.product_3697778_product_template,30049000
__import__.product_4950053_product_template,23091011
__import__.product_4241806_product_template,38086100
__import__.product_5438016_product_template,90183110
__import__.product_7110014_product_template,30023000
__import__.product_5823271_product_template,23091051
__import__.product_5043548_product_template,90183900
__import__.product_1239062_product_template,23091051
__import__.product_8206095_product_template,96039091
__import__.product_8259853_product_template,23099051
__import__.product_8206020_product_template,96039091
__import__.product_8206014_product_template,96039091
__import__.product_8206008_product_template,96039091
__import__.product_8205983_product_template,96039091
__import__.product_8205977_product_template,96039091
__import__.product_5992530_product_template,63079092
__import__.product_5004441_product_template,30061090
__import__.product_8206066_product_template,96039091
__import__.product_8206089_product_template,96039091
__import__.product_8206072_product_template,96039091
__import__.product_8206043_product_template,96039091
__import__.product_7865048_product_template,23091011
__import__.product_5300605_product_template,90183110
__import__.product_1234210_product_template,23091051
__import__.product_8187788_product_template,39269097
__import__.product_5653000_product_template,40082190
__import__.product_5653003_product_template,40082190
__import__.product_5653005_product_template,40082190
__import__.product_5640993_product_template,40082190
__import__.product_8388794_product_template,40082190
__import__.product_6445002_product_template,40082190
__import__.product_8383182_product_template,40082190
__import__.product_8062868_product_template,40082190
__import__.product_8220480_product_template,40082190
__import__.product_5381601_product_template,40082190
__import__.product_8254390_product_template,40082190
__import__.product_8254409_product_template,40082190
__import__.product_5502400_product_template,40082190
__import__.product_8254384_product_template,40082190
__import__.product_7196874_product_template,23091051
__import__.product_4160103_product_template,23091051
__import__.product_8051333_product_template,30061090
__import__.product_8012327_product_template,30061090
__import__.product_5192020_product_template,23099096
__import__.product_8049738_product_template,40082190
__import__.product_8049721_product_template,40082190
__import__.product_8062874_product_template,40082190
__import__.product_8383153_product_template,40082190
__import__.product_9392001_product_template,40082190
__import__.product_5381605_product_template,40082190
__import__.product_5381610_product_template,40082190
__import__.product_5116103_product_template,40082190
__import__.product_3380458_product_template,33079000
