id,product_id/id,name,life_date,checksum,removal_date,alert_date
__import__.stock_production_lot_180127W_8002493,__import__.product_8002493,180127W,2022-12-31 00:00:00,565,2022-12-01 00:00:00,2022-10-02 00:00:00
__import__.stock_production_lot_180202E_8002493,__import__.product_8002493,180202E,2023-01-31 00:00:00,155,2023-01-01 00:00:00,2022-11-02 00:00:00
__import__.stock_production_lot_180103B_8002501,__import__.product_8002501,180103B,2022-12-31 00:00:00,131,2022-12-01 00:00:00,2022-10-02 00:00:00
__import__.stock_production_lot_180104B_8002501,__import__.product_8002501,180104B,2022-12-31 00:00:00,965,2022-12-01 00:00:00,2022-10-02 00:00:00
__import__.stock_production_lot_180106B_8002501,__import__.product_8002501,180106B,2022-12-31 00:00:00,743,2022-12-01 00:00:00,2022-10-02 00:00:00
__import__.stock_production_lot_180219B_8002501,__import__.product_8002501,180219B,2023-01-31 00:00:00,771,2023-01-01 00:00:00,2022-11-02 00:00:00
__import__.stock_production_lot_171120J_8002518,__import__.product_8002518,171120J,2022-10-31 00:00:00,275,2022-10-01 00:00:00,2022-08-02 00:00:00
__import__.stock_production_lot_180516J_8002518,__import__.product_8002518,180516J,2023-04-30 00:00:00,294,2023-03-31 00:00:00,2023-01-30 00:00:00
__import__.stock_production_lot_180202H_8002524,__import__.product_8002524,180202H,2023-01-31 00:00:00,951,2023-01-01 00:00:00,2022-11-02 00:00:00
__import__.stock_production_lot_180226H_8002524,__import__.product_8002524,180226H,2023-01-31 00:00:00,991,2023-01-01 00:00:00,2022-11-02 00:00:00
__import__.stock_production_lot_170707_8003073,__import__.product_8003073,170707,2022-06-30 00:00:00,932,2022-05-31 00:00:00,2022-04-01 00:00:00
__import__.stock_production_lot_180207_8003096,__import__.product_8003096,180207,2023-01-31 00:00:00,988,2023-01-01 00:00:00,2022-11-02 00:00:00
__import__.stock_production_lot_151107_8003104,__import__.product_8003104,151107,2020-10-31 00:00:00,320,2020-10-01 00:00:00,2020-08-02 00:00:00
__import__.stock_production_lot_170707_8003104,__import__.product_8003104,170707,2022-06-30 00:00:00,826,2022-05-31 00:00:00,2022-04-01 00:00:00
__import__.stock_production_lot_170407_8003127,__import__.product_8003127,170407,2022-03-31 00:00:00,930,2022-03-01 00:00:00,2021-12-31 00:00:00
__import__.stock_production_lot_731030_8003222,__import__.product_8003222,731030,2022-10-01 00:00:00,129,2022-09-01 00:00:00,2022-07-03 00:00:00
__import__.stock_production_lot_708_8005793,__import__.product_8005793,708,2020-01-31 00:00:00,871,2020-01-01 00:00:00,2019-11-02 00:00:00
__import__.stock_production_lot_737_8005793,__import__.product_8005793,737,2020-08-31 00:00:00,823,2020-08-01 00:00:00,2020-06-02 00:00:00
__import__.stock_production_lot_37259_8006019,__import__.product_8006019,37259,2022-01-31 00:00:00,460,2022-01-01 00:00:00,2021-11-02 00:00:00
__import__.stock_production_lot_27259_8007148,__import__.product_8007148,27259,2022-02-28 00:00:00,453,2022-01-29 00:00:00,2021-11-30 00:00:00
__import__.stock_production_lot_27755_8007148,__import__.product_8007148,27755,2022-03-31 00:00:00,162,2022-03-01 00:00:00,2021-12-31 00:00:00
__import__.stock_production_lot_41679_8007154,__import__.product_8007154,41679,2020-02-28 00:00:00,270,2020-01-29 00:00:00,2019-11-30 00:00:00
__import__.stock_production_lot_18PAN020_8007208,__import__.product_8007208,18PAN020,2021-12-31 00:00:00,356,2021-12-01 00:00:00,2021-10-02 00:00:00
__import__.stock_production_lot_800821256_8007378,__import__.product_8007378,800821256,2023-05-31 00:00:00,648,2023-05-01 00:00:00,2023-03-02 00:00:00
__import__.stock_production_lot_801025257_8007378,__import__.product_8007378,801025257,2023-06-30 00:00:00,777,2023-05-31 00:00:00,2023-04-01 00:00:00
__import__.stock_production_lot_J7L0764LX_8008260,__import__.product_8008260,J7L0764LX,2022-11-30 00:00:00,427,2022-10-31 00:00:00,2022-09-01 00:00:00
__import__.stock_production_lot_J8B0815LX_8008260,__import__.product_8008260,J8B0815LX,2023-02-28 00:00:00,287,2023-01-29 00:00:00,2022-11-30 00:00:00
__import__.stock_production_lot_J7F0112LX_8008337,__import__.product_8008337,J7F0112LX,2022-06-30 00:00:00,269,2022-05-31 00:00:00,2022-04-01 00:00:00
__import__.stock_production_lot_J7L1399LX_8008337,__import__.product_8008337,J7L1399LX,2022-11-30 00:00:00,328,2022-10-31 00:00:00,2022-09-01 00:00:00
__import__.stock_production_lot_LG6873_8008490,__import__.product_8008490,LG6873,2022-05-31 00:00:00,232,2022-05-01 00:00:00,2022-03-02 00:00:00
__import__.stock_production_lot_MA6630_8008490,__import__.product_8008490,MA6630,2022-12-31 00:00:00,676,2022-12-01 00:00:00,2022-10-02 00:00:00
__import__.stock_production_lot_MEQ256_8010417,__import__.product_8010417,MEQ256,2023-04-30 00:00:00,829,2023-03-31 00:00:00,2023-01-30 00:00:00
__import__.stock_production_lot_MGJ874_8010417,__import__.product_8010417,MGJ874,2023-05-31 00:00:00,921,2023-05-01 00:00:00,2023-03-02 00:00:00
__import__.stock_production_lot_LDB398_8010423,__import__.product_8010423,LDB398,2022-03-31 00:00:00,313,2022-03-01 00:00:00,2021-12-31 00:00:00
__import__.stock_production_lot_MAJ859_8010423,__import__.product_8010423,MAJ859,2022-12-31 00:00:00,883,2022-12-01 00:00:00,2022-10-02 00:00:00
__import__.stock_production_lot_MCA028_8010423,__import__.product_8010423,MCA028,2023-02-28 00:00:00,483,2023-01-29 00:00:00,2022-11-30 00:00:00
__import__.stock_production_lot_MDP994_8010446,__import__.product_8010446,MDP994,2023-03-31 00:00:00,980,2023-03-01 00:00:00,2022-12-31 00:00:00
__import__.stock_production_lot_JMH425_8010469,__import__.product_8010469,JMH425,2022-10-31 00:00:00,393,2022-10-01 00:00:00,2022-08-02 00:00:00
__import__.stock_production_lot_MDH408_8010469,__import__.product_8010469,MDH408,2023-03-31 00:00:00,524,2023-03-01 00:00:00,2022-12-31 00:00:00
__import__.stock_production_lot_GP694_8010481,__import__.product_8010481,GP694,2022-05-31 00:00:00,055,2022-05-01 00:00:00,2022-03-02 00:00:00
__import__.stock_production_lot_LKR905_8010481,__import__.product_8010481,LKR905,2022-08-31 00:00:00,659,2022-08-01 00:00:00,2022-06-02 00:00:00
__import__.stock_production_lot_LHH584_8011115,__import__.product_8011115,LHH584,2022-06-30 00:00:00,391,2022-05-31 00:00:00,2022-04-01 00:00:00
__import__.stock_production_lot_KAK605_8011196,__import__.product_8011196,KAK605,2020-12-31 00:00:00,984,2020-12-01 00:00:00,2020-10-02 00:00:00
__import__.stock_production_lot_JL8BTGC0_8011279,__import__.product_8011279,JL8BTGC0,2021-03-31 00:00:00,937,2021-03-01 00:00:00,2020-12-31 00:00:00
__import__.stock_production_lot_LG8DGXE0_8011279,__import__.product_8011279,LG8DGXE0,2022-11-30 00:00:00,326,2022-10-31 00:00:00,2022-09-01 00:00:00
__import__.stock_production_lot_LH8BMRE0_8011279,__import__.product_8011279,LH8BMRE0,2022-12-31 00:00:00,115,2022-12-01 00:00:00,2022-10-02 00:00:00
__import__.stock_production_lot_JC5HBMN_8011374,__import__.product_8011374,JC5HBMN,2020-06-30 00:00:00,144,2020-05-31 00:00:00,2020-04-01 00:00:00
__import__.stock_production_lot_LJ7BTGN_8011374,__import__.product_8011374,LJ7BTGN,2023-01-31 00:00:00,514,2023-01-01 00:00:00,2022-11-02 00:00:00
__import__.stock_production_lot_JP5DHRN_8011380,__import__.product_8011380,JP5DHRN,2021-05-31 00:00:00,842,2021-05-01 00:00:00,2021-03-02 00:00:00
__import__.stock_production_lot_LC7DCDN_8011380,__import__.product_8011380,LC7DCDN,2022-08-31 00:00:00,273,2022-08-01 00:00:00,2022-06-02 00:00:00
__import__.stock_production_lot_LG7BBWN_8011405,__import__.product_8011405,LG7BBWN,2022-10-31 00:00:00,010,2022-10-01 00:00:00,2022-08-02 00:00:00
__import__.stock_production_lot_LK6887_8011440,__import__.product_8011440,LK6887,2022-08-31 00:00:00,340,2022-08-01 00:00:00,2022-06-02 00:00:00
__import__.stock_production_lot_LJJ602_8011457,__import__.product_8011457,LJJ602,2022-07-31 00:00:00,930,2022-07-01 00:00:00,2022-05-02 00:00:00
