id,name,bic
__import__.bank_ISAEBEBB,CACEIS BANK LUXEMBOURG BRUSSELS BRANCH,ISAEBEBB
__import__.bank_FNETBEBB,CACEIS BELGIUM,FNETBEBB
__import__.bank_CEVNBEB1,CAISSE D'EPARGNE DE LA VILLE DE NIVELLES,CEVNBEB1
__import__.bank_FCECBEB1,CAISSE D'EPARGNE LA FAMILLE,FCECBEB1
__import__.bank_ESESBEBBMIG,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBMIG
__import__.bank_ESESBEBBCSD,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBCSD
__import__.bank_ESESBEBBIAC,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBIAC
__import__.bank_ESESBEBBIAD,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBIAD
__import__.bank_ESESBEBBSCC,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBSCC
__import__.bank_ESESBEBBT2X,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBT2X
__import__.bank_ESESBEBB,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBB
__import__.bank_ESESBEBBFDB,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBFDB
__import__.bank_ESESBEBBINT,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBINT
__import__.bank_ESESBEBBLE1,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBLE1
__import__.bank_ESESBEBBLE2,CAISSE INTERPROFESSIONNELLE DE DEPOTS ET DE VIREMENTS DE TITRES,ESESBEBBLE2
__import__.bank_DXAMBEBB,CANDRIAM BELGIUM,DXAMBEBB
__import__.bank_CFENBEB1,CAPITAL AND FINANCE ASSET MANAGEMENT SA,CFENBEB1
__import__.bank_CAPWBEBB,CAPITAL AT WORK SA,CAPWBEBB
__import__.bank_CAFVBEB1,CARDIF LEVEN,CAFVBEB1
__import__.bank_CARGBEBL,CARFIN SA,CARGBEBL
__import__.bank_CAFIBEBB,CARREFOUR FINANCE SA,CAFIBEBB
__import__.bank_CAFFBEB1,CATERPILLAR FINANCE FRANCE SA,CAFFBEB1
__import__.bank_CREGBEBBTGT,CBC BANQUE S.A.,CREGBEBBTGT
__import__.bank_CREGBEBBNBB,CBC BANQUE S.A.,CREGBEBBNBB
__import__.bank_CBPXBE99,CBP QUILVEST S.A. (LUXEMBOURG) SUCCURSALE BELGIQUE,CBPXBE99
__import__.bank_CEINBEBB,CELIO INTERNATIONAL,CEINBEBB
__import__.bank_GUSEBEB1,CELS SECURITIES N.V.,GUSEBEB1
__import__.bank_HSAABE21,CENTEA,HSAABE21
__import__.bank_CEKVBE81,CENTRALE KREDIETVERLENING,CEKVBE81
__import__.bank_BCSMBEB1,CENTRE FOR EXCHANGE AND CLEARING,BCSMBEB1
__import__.bank_BCSMBEB1STT,CENTRE FOR EXCHANGE AND CLEARING,BCSMBEB1STT
__import__.bank_CEIPBE21,CENTURY INVESTMENT,CEIPBE21
__import__.bank_CPCHBEBB,CHEVRON PHILLIPS CHEMICALS INTERNATIONAL NV,CPCHBEBB
__import__.bank_CHOCBEB1,CHOPPINET SPRL,CHOCBEB1
__import__.bank_CITIBEBX,CITIBANK INTERNATIONAL LIMITED BELGIUM BRANCH,CITIBEBX
__import__.bank_CLIQBEB1,CLEARNET BRUSSELS BRANCH,CLIQBEB1
__import__.bank_CMCIBEB1BTB,CM-CIC BELGIUM,CMCIBEB1BTB
__import__.bank_CMCIBEB1,CM-CIC BELGIUM,CMCIBEB1
__import__.bank_CMCIBEB1SEC,CM-CIC BELGIUM,CMCIBEB1SEC
__import__.bank_CDBXBE33,CODABOX SA,CDBXBE33
__import__.bank_COBABEB1022,"COMMERZBANK AG,THE,BRUSSELS BRANCH",COBABEB1022
__import__.bank_COBABEBXTBU,"COMMERZBANK AG,THE,BRUSSELS BRANCH",COBABEBXTBU
__import__.bank_COBABEBX,"COMMERZBANK AG,THE,BRUSSELS BRANCH",COBABEBX
__import__.bank_COBABEBXTSU,"COMMERZBANK AG,THE,BRUSSELS BRANCH",COBABEBXTSU
__import__.bank_EUCOBEBB,COMMISSION DES COMMUNAUTES EUROPEENNES,EUCOBEBB
__import__.bank_CEXPBE33,CORPORATE EXPRESS SHARED SERVICE CENTER (EUROPE) NV,CEXPBE33
__import__.bank_CPHBBE75,CPH BANQUE,CPHBBE75
__import__.bank_CPHBBE75TG2,CPH BANQUE,CPHBBE75TG2
__import__.bank_OCCHBEB1,CREDIBE SA,OCCHBEB1
__import__.bank_CREOBEB1,CREDIMO N.V.,CREOBEB1
__import__.bank_CREPBEB1,CREDISHOP S.A.,CREPBEB1
__import__.bank_CRLYBEBB,CREDIT AGRICOLE CIB BELGIUM,CRLYBEBB
__import__.bank_CVMCBEBB,"CREDIT AGRICOLE LUXEMBOURG, SUCCURSALE EN BELGIQUE,BIJBANK IN BELGIE",CVMCBEBB
__import__.bank_FBHLBE22,CREDIT EUROPE BANK N.V. ANTWERP BRANCH,FBHLBE22
__import__.bank_BKCPBEBBTGT,CREDIT PROFESSIONNEL SA / BEROEPSKREDIET NV,BKCPBEBBTGT
__import__.bank_BKCPBEBB,CREDIT PROFESSIONNEL SA / BEROEPSKREDIET NV,BKCPBEBB
__import__.bank_SPAABE22,CRELAN SA/NV (FORMERLY CENTEA NV),SPAABE22
__import__.bank_NICABEBB,CRELAN SA/NV (FORMERLY CREDIT AGRICOLE SA/LANDBOUWKREDIET NV),NICABEBB
__import__.bank_CRSLBE21,CRISTAL BELGIUM,CRSLBE21
__import__.bank_CYTEBEBB,CYTEC BELGIUM BVBA,CYTEBEBB
__import__.bank_DAMCBEB1,"DAMIEN COURTENS, SPRL",DAMCBEB1
__import__.bank_DAVRBE81,DAVENPORT VERMOGENSBEHEER NV,DAVRBE81
__import__.bank_DBOOBEB1,"DE BOODT ET CIE, GCV",DBOOBEB1
__import__.bank_DBUCBE91,DE BUCK EN CIE N.V.,DBUCBE91
__import__.bank_MOFFBEB1,"DE MOFFARTS, ROLIN JACQUEMYNS S.A.",MOFFBEB1
__import__.bank_DMULBEB1,DE MULDER,DMULBEB1
__import__.bank_POSSBEB1,DE POSSON ET CIE,POSSBEB1
__import__.bank_DEGBBEB1,DECLERCQ AND CO G.C.V. BEURSVENNOOTSCHAP,DEGBBEB1
__import__.bank_DEGFBEB1,"DEGROOF SECURITIES, S.A.",DEGFBEB1
__import__.bank_DELNBEB1,DELANDE ET CIE SA,DELNBEB1
__import__.bank_BONVBE91,"DELTA BEURSVENNOOTSCHAP, BVBA",BONVBE91
__import__.bank_DHBNBEBB,DEMIR-HALK BANK (NEDERLAND) N.V. BRUSSELS BRANCH,DHBNBEBB
__import__.bank_DEUTBEBEANT,DEUTSCHE BANK A.G.,DEUTBEBEANT
__import__.bank_DEUTBEBE,DEUTSCHE BANK A.G.,DEUTBEBE
__import__.bank_DEUTBEBEUNP,DEUTSCHE BANK A.G.,DEUTBEBEUNP
__import__.bank_BASCBEB1,DEXIA SECURITIES BELGIUM SA,BASCBEB1
__import__.bank_DIERBE21,DIERICKX LEYS EN CIE EFFECTENBANK NV,DIERBE21
__import__.bank_DRIEBE91,"DRIEGE EN CO, BVBA",DRIEBE91
__import__.bank_XEASBEB1,EASDAQ S.A.,XEASBEB1
__import__.bank_EDFRBEB1,EDF INVESTISSEMENTS GROUPE,EDFRBEB1
__import__.bank_ELERBEB1,ELECTRABEL SA,ELERBEB1
__import__.bank_ENEIBEB1,ENERGY EUROPE INVEST,ENEIBEB1
__import__.bank_EPBFBEBB,EPBF,EPBFBEBB
__import__.bank_SECUBEB1,ES SECURITIES,SECUBEB1
__import__.bank_ETEXBEBB,ETEX S.A.,ETEXBEBB
__import__.bank_ETHDBE44,"ETHIAS DROIT COMMUN, ASSOCIATION D'ASS. MUTUELLES",ETHDBE44
__import__.bank_NAETBE21,ETHIAS SA,NAETBE21
__import__.bank_ETHVBE44,"ETHIAS VIE, ASSOCIATION D'ASSURANCES MUTUELLES",ETHVBE44
__import__.bank_MGTCBEBEE16,EUROCLEAR BANK S.A / N.V,MGTCBEBEE16
__import__.bank_MGTCBEBEE17,EUROCLEAR BANK S.A / N.V,MGTCBEBEE17
__import__.bank_MGTCBEBEEB2,EUROCLEAR BANK S.A / N.V,MGTCBEBEEB2
__import__.bank_MGTCBEBEEBE,EUROCLEAR BANK S.A / N.V,MGTCBEBEEBE
__import__.bank_MGTCBEBEEF2,EUROCLEAR BANK S.A / N.V,MGTCBEBEEF2
__import__.bank_MGTCBEBEEFR,EUROCLEAR BANK S.A / N.V,MGTCBEBEEFR
__import__.bank_MGTCBEBEEN2,EUROCLEAR BANK S.A / N.V,MGTCBEBEEN2
__import__.bank_MGTCBEBEENL,EUROCLEAR BANK S.A / N.V,MGTCBEBEENL
__import__.bank_MGTCBEBEE01,EUROCLEAR BANK S.A / N.V,MGTCBEBEE01
__import__.bank_MGTCBEBEFND,EUROCLEAR BANK S.A / N.V,MGTCBEBEFND
__import__.bank_MGTCBEBE,EUROCLEAR BANK S.A / N.V,MGTCBEBE
__import__.bank_MGTCBEBEECL,EUROCLEAR BANK S.A / N.V,MGTCBEBEECL
__import__.bank_MGTCBEBECLT,EUROCLEAR BANK S.A / N.V,MGTCBEBECLT
__import__.bank_MGTCBEBEE14,EUROCLEAR BANK S.A / N.V,MGTCBEBEE14
__import__.bank_MGTCBEBET01,EUROCLEAR BANK S.A / N.V,MGTCBEBET01
