id,bin_location_id/id,product_id/id,location_id/id
__import__.product_stock_bin_5801726,__import__.location_loc_AB05A3,__import__.product_5801726_product_template,stock.stock_location_stock
__import__.product_stock_bin_4004134,__import__.location_loc_AB05B1,__import__.product_4004134_product_template,stock.stock_location_stock
__import__.product_stock_bin_4110005,__import__.location_loc_AB06A1,__import__.product_4110005_product_template,stock.stock_location_stock
__import__.product_stock_bin_5829176,__import__.location_loc_AB06A2,__import__.product_5829176_product_template,stock.stock_location_stock
__import__.product_stock_bin_4220143,__import__.location_loc_AB06A3,__import__.product_4220143_product_template,stock.stock_location_stock
__import__.product_stock_bin_4500245,__import__.location_loc_AB06A4,__import__.product_4500245_product_template,stock.stock_location_stock
__import__.product_stock_bin_5822862,__import__.location_loc_AB06B1,__import__.product_5822862_product_template,stock.stock_location_stock
__import__.product_stock_bin_3563178,__import__.location_loc_AB06B2,__import__.product_3563178_product_template,stock.stock_location_stock
__import__.product_stock_bin_5828668,__import__.location_loc_AB06B3,__import__.product_5828668_product_template,stock.stock_location_stock
__import__.product_stock_bin_4260002,__import__.location_loc_AB06B4,__import__.product_4260002_product_template,stock.stock_location_stock
__import__.product_stock_bin_4500225,__import__.location_loc_AB07A1,__import__.product_4500225_product_template,stock.stock_location_stock
__import__.product_stock_bin_5826655,__import__.location_loc_AB07A2,__import__.product_5826655_product_template,stock.stock_location_stock
__import__.product_stock_bin_4250014,__import__.location_loc_AB07A3,__import__.product_4250014_product_template,stock.stock_location_stock
__import__.product_stock_bin_4270002,__import__.location_loc_AB07B1,__import__.product_4270002_product_template,stock.stock_location_stock
__import__.product_stock_bin_4901703,__import__.location_loc_AB07B2,__import__.product_4901703_product_template,stock.stock_location_stock
__import__.product_stock_bin_6828886,__import__.location_loc_AB07B3,__import__.product_6828886_product_template,stock.stock_location_stock
__import__.product_stock_bin_4230102,__import__.location_loc_AB08A1,__import__.product_4230102_product_template,stock.stock_location_stock
__import__.product_stock_bin_3145042,__import__.location_loc_AB08A2,__import__.product_3145042_product_template,stock.stock_location_stock
__import__.product_stock_bin_4250006,__import__.location_loc_AB08A3,__import__.product_4250006_product_template,stock.stock_location_stock
__import__.product_stock_bin_5821884,__import__.location_loc_AB08B1,__import__.product_5821884_product_template,stock.stock_location_stock
__import__.product_stock_bin_4110003,__import__.location_loc_AB08B2,__import__.product_4110003_product_template,stock.stock_location_stock
__import__.product_stock_bin_7196650,__import__.location_loc_AB08B3,__import__.product_7196650_product_template,stock.stock_location_stock
__import__.product_stock_bin_5164502,__import__.location_loc_AB09A3,__import__.product_5164502_product_template,stock.stock_location_stock
__import__.product_stock_bin_8298790,__import__.location_loc_AB10A3,__import__.product_8298790_product_template,stock.stock_location_stock
__import__.product_stock_bin_4230103,__import__.location_loc_AB11A1,__import__.product_4230103_product_template,stock.stock_location_stock
__import__.product_stock_bin_5828966,__import__.location_loc_AB11A2,__import__.product_5828966_product_template,stock.stock_location_stock
__import__.product_stock_bin_4220114,__import__.location_loc_AB11A3,__import__.product_4220114_product_template,stock.stock_location_stock
__import__.product_stock_bin_4150004,__import__.location_loc_AB11A4,__import__.product_4150004_product_template,stock.stock_location_stock
__import__.product_stock_bin_5810745,__import__.location_loc_AB11B1,__import__.product_5810745_product_template,stock.stock_location_stock
__import__.product_stock_bin_4210130,__import__.location_loc_AB11B2,__import__.product_4210130_product_template,stock.stock_location_stock
__import__.product_stock_bin_3265436,__import__.location_loc_AB11B3,__import__.product_3265436_product_template,stock.stock_location_stock
__import__.product_stock_bin_4210101,__import__.location_loc_AB11B4,__import__.product_4210101_product_template,stock.stock_location_stock
__import__.product_stock_bin_4007025,__import__.location_loc_AB12A1,__import__.product_4007025_product_template,stock.stock_location_stock
__import__.product_stock_bin_3265725,__import__.location_loc_AB12A2,__import__.product_3265725_product_template,stock.stock_location_stock
__import__.product_stock_bin_4210103,__import__.location_loc_AB12A3,__import__.product_4210103_product_template,stock.stock_location_stock
__import__.product_stock_bin_5829179,__import__.location_loc_AB12A4,__import__.product_5829179_product_template,stock.stock_location_stock
__import__.product_stock_bin_3265337,__import__.location_loc_AB12B1,__import__.product_3265337_product_template,stock.stock_location_stock
__import__.product_stock_bin_4500282,__import__.location_loc_AB12B2,__import__.product_4500282_product_template,stock.stock_location_stock
__import__.product_stock_bin_5822741,__import__.location_loc_AB12B3,__import__.product_5822741_product_template,stock.stock_location_stock
__import__.product_stock_bin_4250002,__import__.location_loc_AB12B4,__import__.product_4250002_product_template,stock.stock_location_stock
__import__.product_stock_bin_4250106,__import__.location_loc_AB13A1,__import__.product_4250106_product_template,stock.stock_location_stock
__import__.product_stock_bin_7196934,__import__.location_loc_AB13A2,__import__.product_7196934_product_template,stock.stock_location_stock
__import__.product_stock_bin_4120183,__import__.location_loc_AB13A3,__import__.product_4120183_product_template,stock.stock_location_stock
__import__.product_stock_bin_4210102,__import__.location_loc_AB13A4,__import__.product_4210102_product_template,stock.stock_location_stock
__import__.product_stock_bin_5828648,__import__.location_loc_AB13B1,__import__.product_5828648_product_template,stock.stock_location_stock
__import__.product_stock_bin_5164541,__import__.location_loc_AB13B2,__import__.product_5164541_product_template,stock.stock_location_stock
__import__.product_stock_bin_4150102,__import__.location_loc_AB13B3,__import__.product_4150102_product_template,stock.stock_location_stock
__import__.product_stock_bin_5270265,__import__.location_loc_AB13B4,__import__.product_5270265_product_template,stock.stock_location_stock
__import__.product_stock_bin_4120101,__import__.location_loc_AB13B5,__import__.product_4120101_product_template,stock.stock_location_stock
__import__.product_stock_bin_4006104,__import__.location_loc_AB14A1,__import__.product_4006104_product_template,stock.stock_location_stock
__import__.product_stock_bin_5828665,__import__.location_loc_AB14A2,__import__.product_5828665_product_template,stock.stock_location_stock
__import__.product_stock_bin_4990043,__import__.location_loc_AB14A3,__import__.product_4990043_product_template,stock.stock_location_stock
__import__.product_stock_bin_4140004,__import__.location_loc_AB14A4,__import__.product_4140004_product_template,stock.stock_location_stock
__import__.product_stock_bin_3563020,__import__.location_loc_AB14B1,__import__.product_3563020_product_template,stock.stock_location_stock
__import__.product_stock_bin_4120182,__import__.location_loc_AB14B2,__import__.product_4120182_product_template,stock.stock_location_stock
__import__.product_stock_bin_3265402,__import__.location_loc_AB14B3,__import__.product_3265402_product_template,stock.stock_location_stock
__import__.product_stock_bin_5829185,__import__.location_loc_AB14B4,__import__.product_5829185_product_template,stock.stock_location_stock
__import__.product_stock_bin_4180302,__import__.location_loc_AB15A1,__import__.product_4180302_product_template,stock.stock_location_stock
__import__.product_stock_bin_5826662,__import__.location_loc_AB15A2,__import__.product_5826662_product_template,stock.stock_location_stock
__import__.product_stock_bin_3265709,__import__.location_loc_AB15A3,__import__.product_3265709_product_template,stock.stock_location_stock
__import__.product_stock_bin_4220107,__import__.location_loc_AB15A4,__import__.product_4220107_product_template,stock.stock_location_stock
__import__.product_stock_bin_5826197,__import__.location_loc_AB15B1,__import__.product_5826197_product_template,stock.stock_location_stock
__import__.product_stock_bin_5829001,__import__.location_loc_AB15B2,__import__.product_5829001_product_template,stock.stock_location_stock
__import__.product_stock_bin_7416695,__import__.location_loc_AB15B3,__import__.product_7416695_product_template,stock.stock_location_stock
__import__.product_stock_bin_5828649,__import__.location_loc_AB16A1,__import__.product_5828649_product_template,stock.stock_location_stock
