price,product_code,name/id,id,product_tmpl_id/id
4.03,,__import__.supplier_77320,__import__.supplierinfo_77320-0021915,__import__.product_0021915_product_template
163.89,C0022014,__import__.supplier_66906,__import__.supplierinfo_66906-0022014,__import__.product_0022014_product_template
11.15,,__import__.supplier_32420,__import__.supplierinfo_32420-0022018,__import__.product_0022018_product_template
3.39,C0022204,__import__.supplier_66906,__import__.supplierinfo_66906-0022204,__import__.product_0022204_product_template
3.23,C0022205,__import__.supplier_66906,__import__.supplierinfo_66906-0022205,__import__.product_0022205_product_template
3.39,C0022214,__import__.supplier_66906,__import__.supplierinfo_66906-0022214,__import__.product_0022214_product_template
2.68,C0022216,__import__.supplier_63550,__import__.supplierinfo_63550-0022216,__import__.product_0022216_product_template
3.23,C0022232,__import__.supplier_66906,__import__.supplierinfo_66906-0022232,__import__.product_0022232_product_template
5.08,,__import__.supplier_63195,__import__.supplierinfo_63195-0022269,__import__.product_0022269_product_template
2.36,,__import__.supplier_63195,__import__.supplierinfo_63195-0022277,__import__.product_0022277_product_template
2.72,,__import__.supplier_63195,__import__.supplierinfo_63195-0022897,__import__.product_0022897_product_template
3.17,,__import__.supplier_32420,__import__.supplierinfo_32420-0023452,__import__.product_0023452_product_template
12.61,,__import__.supplier_32420,__import__.supplierinfo_32420-0023810,__import__.product_0023810_product_template
6.34,,__import__.supplier_32420,__import__.supplierinfo_32420-0023916,__import__.product_0023916_product_template
1.77,,__import__.supplier_63195,__import__.supplierinfo_63195-0024166,__import__.product_0024166_product_template
17.68,,__import__.supplier_32420,__import__.supplierinfo_32420-0024292,__import__.product_0024292_product_template
15.32,,__import__.supplier_32420,__import__.supplierinfo_32420-0024319,__import__.product_0024319_product_template
28.86,,__import__.supplier_32420,__import__.supplierinfo_32420-0024326,__import__.product_0024326_product_template
72.76,,__import__.supplier_32420,__import__.supplierinfo_32420-0024333,__import__.product_0024333_product_template
220.66,B0024392,__import__.supplier_66906,__import__.supplierinfo_66906-0024392,__import__.product_0024392_product_template
6.52,,__import__.supplier_63195,__import__.supplierinfo_63195-0024414,__import__.product_0024414_product_template
5.30,,__import__.supplier_32420,__import__.supplierinfo_32420-0024715,__import__.product_0024715_product_template
4.31,,__import__.supplier_32420,__import__.supplierinfo_32420-0024920,__import__.product_0024920_product_template
8.33,,__import__.supplier_63195,__import__.supplierinfo_63195-0024935,__import__.product_0024935_product_template
7.34,,__import__.supplier_63195,__import__.supplierinfo_63195-0025163,__import__.product_0025163_product_template
11.43,,__import__.supplier_32420,__import__.supplierinfo_32420-0025323,__import__.product_0025323_product_template
