id/id,name
__import__.product_2732931_product_template,LD CANIN 12KG
__import__.product_2732949_product_template,BD CANIN 12KG
__import__.product_2732964_product_template,PD CANIN LARGE BREED 12KG
__import__.product_2732972_product_template,UD CANIN 12KG
__import__.product_2732980_product_template,"MD FELIN 1,5KG"
__import__.product_2733020_product_template,"TD FELIN 1,5KG"
__import__.product_2736064_product_template,TROVET RHF LAPIN 275GR
__import__.product_2736072_product_template,"TROVET GHF COBAYE 2,5KG"
__import__.product_2736080_product_template,TROVET GHF COBAYE 275GR
__import__.product_2736098_product_template,"TROVET RHF LAPIN 2,5KG"
__import__.product_2736106_product_template,TROVET RSH RECOVERY SMALL HERBIVORES 20G
__import__.product_2736809_product_template,"SPECIFIC CDD HY FOOD ALLERGY 2,5KG"
__import__.product_2739704_product_template,"CD FELIN REDUCED CALORIE 1,5KG"
__import__.product_2739720_product_template,CD FELIN REDUCED CALORIE 4KG
__import__.product_2739787_product_template,CD FELIN REDUCED CALORIE 8KG
__import__.product_2739985_product_template,CANINE ADULT LARGE BREED 18KG POULET
__import__.product_2740009_product_template,CANINE PUPPY LARGE BREED 18KG POULET
__import__.product_2747606_product_template,CANINE ADULT 3KG POULET
__import__.product_2769103_product_template,CANINE PUPPY 1KG POULET
__import__.product_2769202_product_template,CANINE PUPPY 3KG POULET
__import__.product_2769301_product_template,CANINE PUPPY LARGE BREED 4X1KG
__import__.product_2769400_product_template,CANINE PUPPY LARGE BREED 3KG
__import__.product_2769509_product_template,CANINE PUPPY 1KG AGNEAU/RIZ
__import__.product_2769608_product_template,CANINE PUPPY 3KG AGNEAU/RIZ
__import__.product_2769707_product_template,CANINE ADULT 4x1KG POULET
__import__.product_2769806_product_template,CANINE ADULT 1KG BOEUF
__import__.product_2769905_product_template,CANINE ADULT 3KG BOEUF
__import__.product_2770000_product_template,CANINE ADULT 1KG AGNEAU/RIZ
__import__.product_2770109_product_template,CANINE ADULT 3KG AGNEAU/RIZ
__import__.product_2770208_product_template,CANINE LIGHT ADULT 4x1KG POULET
__import__.product_2770307_product_template,CANINE LIGHT ADULT 3KG POULET
__import__.product_2770406_product_template,CANINE PERFORMANCE 4X1KG
__import__.product_2770505_product_template,CANINE PERFORMANCE 3KG
__import__.product_2872505_product_template,TROVET MHT MULTI PURPOSE CHIEN 400GR
__import__.product_2877678_product_template,"SPECIFIC COD HY ALLERGY MANAGEMENT 6,5KG"
__import__.product_2877702_product_template,"SPECIFIC CPD S PUPPY SMALL BREED 7,5KG"
__import__.product_2877710_product_template,SPECIFIC CPD M PUPPY MEDIUM BREED 14KG
__import__.product_2877751_product_template,"SPECIFIC CGD S SENIOR SMALL BREED 7,5KG"
__import__.product_2877769_product_template,"SPECIFIC CGD M SENIOR MEDIUM BREED 2,5KG"
__import__.product_2877777_product_template,SPECIFIC CGD M SENIOR MEDIUM BREED 14KG
