id,bic,name
__import__.bank_CCBPFRPPMTG,CCBPFRPPMTG,BANQUE POPULAIRE RIVE DE PARIS
__import__.bank_CCBPFRPPMTZ,CCBPFRPPMTZ,Banque Populaire Alsace Lorraine
__import__.bank_CCBPFRPPNAN,CCBPFRPPNAN,BANQUE POPULAIRE ATLANTIQUE
__import__.bank_CCBPFRPPNAN,CCBPFRPPNAN,BPA Cholet GAMBETTA
__import__.bank_CCBPFRPPPPG,CCBPFRPPPPG,Banque Populaire du Sud
__import__.bank_CCBPFRPPREN,CCBPFRPPREN,Banque Populaire de l'Ouest Le Mans
__import__.bank_CCBPFRPPVER,CCBPFRPPVER,BANQUE POPULAIRE VAL DE FRANCE
__import__.bank_CCFRFRPP,CCFRFRPP,HSBC BAGNOLET
__import__.bank_CCPLLULL,CCPLLULL,POST Group
__import__.bank_CECRIT2C,CECRIT2C,CASSA DI RISPARMIO DI CESENA
__import__.bank_CELLLULL,CELLLULL,ING LUXEMBOURG
__import__.bank_CEPAFRPP450,CEPAFRPP450,Caisse d'Epargne Loire Centre
__import__.bank_CHASBEBX,CHASBEBX,JP Morgan Chase Bank
__import__.bank_CITIBEBX,CITIBEBX,Citibank International PLC
__import__.bank_CITIBEBX,CITIBEBX,CITIBANK
__import__.bank_CITIBEBXXXX,CITIBEBXXXX,CITIBANK
__import__.bank_CITIGB2L,CITIGB2L,CITIBANK
__import__.bank_CMBRFR2BCME,CMBRFR2BCME,Credit mutuel Arkea
__import__.bank_CMBRFR2BCME,CMBRFR2BCME,Credit Mutuel Arkea
__import__.bank_CMBRFR2BXXX,CMBRFR2BXXX,Crédit Mutuel de Bretagne
__import__.bank_CMCIFRPP,CMCIFRPP,CC LYONNAISE DE BANQUE
__import__.bank_CMCIFRPP,CMCIFRPP,CIC Banque
__import__.bank_CMCIFRPP,CMCIFRPP,CIC HAUTE-SAVOIE ENTREPRISES
__import__.bank_CMCIFRPP,CMCIFRPP,CIC Nord Ouest
__import__.bank_CMCIFRPP,CMCIFRPP,CIC NANTES
__import__.bank_CMCIFRPP,CMCIFRPP,CIC OUEST
__import__.bank_CMCIFRPP,CMCIFRPP,CIC Sud Ouest
__import__.bank_CMCIFRPP,CMCIFRPP,CIC VILLEURBANNE BROTTEAUX
__import__.bank_CMCIFRPP,CMCIFRPP,CM CIC BANQUE
__import__.bank_CMCIFR2A,CMCIFR2A,Crédit Mutuel
__import__.bank_CMCIFR2A,CMCIFR2A,Credit mutuel Chateaurenard
__import__.bank_CMCIFR2A,CMCIFR2A,CMPS DU VAR
__import__.bank_CMCIFR2A,CMCIFR2A,CREDIT MUTUEL
__import__.bank_COBABEBX,COBABEBX,Comerzbank AG
__import__.bank_COBABEBX,COBABEBX,Commerzbank
__import__.bank_COBADEFF,COBADEFF,Commerzbank
__import__.bank_COBADEFF210,COBADEFF210,Commerzbank Kiel
__import__.bank_COBADEFF356,COBADEFF356,Commerzbank
__import__.bank_COBADEFF520,COBADEFF520,Commerzbank
__import__.bank_COBAFRPX,COBAFRPX,COMMERZBANK A.G.
__import__.bank_COLSDE33,COLSDE33,Sparkasse Koeln
__import__.bank_CPHBBE75,CPHBBE75,Banque CPH
__import__.bank_CREGBEBB,CREGBEBB,CBC
__import__.bank_CREGBEBB,CREGBEBB,CBC Banque
__import__.bank_CREGBEBB,CREGBEBB,CBC Banque et Assurances
__import__.bank_CRLYFRPP,CRLYFRPP,Credit Lyonnais
__import__.bank_CRLYFRPP,CRLYFRPP,CAE GRAND LYON ENTREPRENEURS
__import__.bank_CRLYFRPP,CRLYFRPP,CREDIT LYONNAIS
__import__.bank_CTBKBEBX,CTBKBEBX,Citibank Belgium
__import__.bank_DEUTBEBE,DEUTBEBE,deutche bank
__import__.bank_DEUTBEBE,DEUTBEBE,Deutche Bank
__import__.bank_DEUTBEBE,DEUTBEBE,Deutsche Bank
__import__.bank_DEUTBEBE,DEUTBEBE,Deutsche Bank AG
__import__.bank_DEUTBEBE,DEUTBEBE,DEUTSCHE BANK
__import__.bank_DEUTDEDB653,DEUTDEDB653,DEUTCHE BANK TUTTLINGEN
__import__.bank_DEUTDEDB760,DEUTDEDB760,Deutsche Bank
__import__.bank_DEUTDEDW342,DEUTDEDW342,Deutsche Bank
__import__.bank_DEUTDEFFXXX,DEUTDEFFXXX,Deutsche Bank
__import__.bank_DEUTDEFF505,DEUTDEFF505,DEUTSCHE BANK
__import__.bank_DEUTDESS603,DEUTDESS603,DEUTSCHE BANK AG TUTTLINGEN
__import__.bank_DEUTDESS653,DEUTDESS653,Deutche bank Tuttlingen
__import__.bank_DEUTDESS653,DEUTDESS653,DEUTSCHE BANK TUTTLINGEN
__import__.bank_DEUTFRPP,DEUTFRPP,Deutche bank AG
__import__.bank_DEUTNL2AXXX,DEUTNL2AXXX,DEUTSCHE BANK
__import__.bank_DORTDE33,DORTDE33,Sparkasse Dortmund
__import__.bank_DRESDEFF265,DRESDEFF265,COMMERZBANK
__import__.bank_DRESDEFF508,DRESDEFF508,Commerzbank AG
__import__.bank_DRESDEFF510,DRESDEFF510,Dresdner Bank Wiesbaden
__import__.bank_DRESDEFF643,DRESDEFF643,Kreissparkasse Tuttlingen
__import__.bank_DRESDEFF692,DRESDEFF692,Commerzbank SINGEN
__import__.bank_FACFFRPPXXX,FACFFRPPXXX,GE FACTOFRANCE
__import__.bank_FIOBCZPPXXX,FIOBCZPPXXX,FIO BANKA a.s.
__import__.bank_GEBABEBB,GEBABEBB,BNP
__import__.bank_GEBABEBB,GEBABEBB,BNP FORTIS
__import__.bank_GEBABEBB,GEBABEBB,BNP Paribas fortis
__import__.bank_GEBABEBB,GEBABEBB,BNP Paribas Fortis
__import__.bank_GEBABEBB,GEBABEBB,BNP PARIBAS
__import__.bank_GEBABEBB,GEBABEBB,BNP PARIBAS BELGIUM
__import__.bank_GEBABEBB,GEBABEBB,BNP PARIBAS FORTIS
__import__.bank_GEBABEBB,GEBABEBB,BNP PARIBAS FORTIS BANQUE
__import__.bank_GEBABEBB,GEBABEBB,BNPP
__import__.bank_GEBABEBB,GEBABEBB,Fortis Banque
__import__.bank_GEBABEBB,GEBABEBB,Fortis Banque S.A.
