id,parent_id/id,company_type
__import__.customer_6065,__import__.customer_5973,person
__import__.customer_6069,__import__.customer_5973,person
__import__.customer_6067,__import__.customer_5973,person
__import__.customer_6071,__import__.customer_5973,person
__import__.customer_6074,__import__.customer_5973,person
__import__.customer_6075,__import__.customer_5973,person
__import__.customer_6076,__import__.customer_5973,person
__import__.customer_7640,__import__.customer_7610,person
__import__.customer_7641,__import__.customer_7610,person
__import__.customer_7641,__import__.customer_7610,person
__import__.customer_7296,__import__.supplier_63945,person
__import__.customer_7297,__import__.supplier_63945,person
__import__.customer_7833,__import__.supplier_63945,person
__import__.customer_7832,__import__.supplier_63945,person
__import__.customer_7831,__import__.supplier_63945,person
__import__.customer_5135,__import__.supplier_63945,person
__import__.customer_8519,__import__.supplier_63945,person
__import__.customer_5136,__import__.supplier_63945,person
__import__.customer_5026,__import__.supplier_63945,person
