id,name,bin_checksum_1,bin_checksum_2,location_id/id,kind,zone,corridor,shelf,height,box
__import__.location_loc_AB01A1,AB01A1,69,69,__import__.location_family_A,bin,A,B,01,A,1
__import__.location_loc_AB01A2,AB01A2,15,15,__import__.location_family_A,bin,A,B,01,A,2
__import__.location_loc_AB01A3,AB01A3,05,05,__import__.location_family_A,bin,A,B,01,A,3
__import__.location_loc_AB01A4,AB01A4,29,29,__import__.location_family_A,bin,A,B,01,A,4
__import__.location_loc_AB02A1,AB02A1,61,61,__import__.location_family_A,bin,A,B,02,A,1
__import__.location_loc_AB02A2,AB02A2,23,23,__import__.location_family_A,bin,A,B,02,A,2
__import__.location_loc_AB02A3,AB02A3,31,31,__import__.location_family_A,bin,A,B,02,A,3
__import__.location_loc_AB02B1,AB02B1,23,23,__import__.location_family_A,bin,A,B,02,B,1
__import__.location_loc_AB02B2,AB02B2,31,31,__import__.location_family_A,bin,A,B,02,B,2
__import__.location_loc_AB02B3,AB02B3,36,36,__import__.location_family_A,bin,A,B,02,B,3
__import__.location_loc_AB02B4,AB02B4,40,40,__import__.location_family_A,bin,A,B,02,B,4
__import__.location_loc_AB02B5,AB02B5,28,28,__import__.location_family_A,bin,A,B,02,B,5
__import__.location_loc_AB03A1,AB03A1,01,01,__import__.location_family_A,bin,A,B,03,A,1
__import__.location_loc_AB03A2,AB03A2,72,72,__import__.location_family_A,bin,A,B,03,A,2
__import__.location_loc_AB03A3,AB03A3,00,00,__import__.location_family_A,bin,A,B,03,A,3
__import__.location_loc_AB03A4,AB03A4,66,66,__import__.location_family_A,bin,A,B,03,A,4
__import__.location_loc_AB03B1,AB03B1,41,41,__import__.location_family_A,bin,A,B,03,B,1
__import__.location_loc_AB03B2,AB03B2,05,05,__import__.location_family_A,bin,A,B,03,B,2
__import__.location_loc_AB03B3,AB03B3,42,42,__import__.location_family_A,bin,A,B,03,B,3
__import__.location_loc_AB03B4,AB03B4,16,16,__import__.location_family_A,bin,A,B,03,B,4
__import__.location_loc_AB03B5,AB03B5,32,32,__import__.location_family_A,bin,A,B,03,B,5
__import__.location_loc_AB03B6,AB03B6,89,89,__import__.location_family_A,bin,A,B,03,B,6
__import__.location_loc_AB04A1,AB04A1,10,10,__import__.location_family_A,bin,A,B,04,A,1
__import__.location_loc_AB04A2,AB04A2,04,04,__import__.location_family_A,bin,A,B,04,A,2
__import__.location_loc_AB04A3,AB04A3,60,60,__import__.location_family_A,bin,A,B,04,A,3
__import__.location_loc_AB04A4,AB04A4,14,14,__import__.location_family_A,bin,A,B,04,A,4
__import__.location_loc_AB05A1,AB05A1,45,45,__import__.location_family_A,bin,A,B,05,A,1
__import__.location_loc_AB05A2,AB05A2,03,03,__import__.location_family_A,bin,A,B,05,A,2
__import__.location_loc_AB05A3,AB05A3,74,74,__import__.location_family_A,bin,A,B,05,A,3
__import__.location_loc_AB05A4,AB05A4,49,49,__import__.location_family_A,bin,A,B,05,A,4
__import__.location_loc_AB05B1,AB05B1,58,58,__import__.location_family_A,bin,A,B,05,B,1
__import__.location_loc_AB05B2,AB05B2,98,98,__import__.location_family_A,bin,A,B,05,B,2
__import__.location_loc_AB05B3,AB05B3,11,11,__import__.location_family_A,bin,A,B,05,B,3
__import__.location_loc_AB05B4,AB05B4,15,15,__import__.location_family_A,bin,A,B,05,B,4
__import__.location_loc_AB06A1,AB06A1,12,12,__import__.location_family_A,bin,A,B,06,A,1
__import__.location_loc_AB06A2,AB06A2,71,71,__import__.location_family_A,bin,A,B,06,A,2
__import__.location_loc_AB06A3,AB06A3,04,04,__import__.location_family_A,bin,A,B,06,A,3
__import__.location_loc_AB06A4,AB06A4,69,69,__import__.location_family_A,bin,A,B,06,A,4
__import__.location_loc_AB06B1,AB06B1,03,03,__import__.location_family_A,bin,A,B,06,B,1
__import__.location_loc_AB06B2,AB06B2,44,44,__import__.location_family_A,bin,A,B,06,B,2
__import__.location_loc_AB06B3,AB06B3,54,54,__import__.location_family_A,bin,A,B,06,B,3
__import__.location_loc_AB06B4,AB06B4,49,49,__import__.location_family_A,bin,A,B,06,B,4
__import__.location_loc_AB07A1,AB07A1,07,07,__import__.location_family_A,bin,A,B,07,A,1
__import__.location_loc_AB07A2,AB07A2,55,55,__import__.location_family_A,bin,A,B,07,A,2
__import__.location_loc_AB07A3,AB07A3,73,73,__import__.location_family_A,bin,A,B,07,A,3
__import__.location_loc_AB07A4,AB07A4,32,32,__import__.location_family_A,bin,A,B,07,A,4
__import__.location_loc_AB07B1,AB07B1,31,31,__import__.location_family_A,bin,A,B,07,B,1
__import__.location_loc_AB07B2,AB07B2,01,01,__import__.location_family_A,bin,A,B,07,B,2
__import__.location_loc_AB07B3,AB07B3,41,41,__import__.location_family_A,bin,A,B,07,B,3
__import__.location_loc_AB07B4,AB07B4,05,05,__import__.location_family_A,bin,A,B,07,B,4
__import__.location_loc_AB08A1,AB08A1,69,69,__import__.location_family_A,bin,A,B,08,A,1
__import__.location_loc_AB08A2,AB08A2,56,56,__import__.location_family_A,bin,A,B,08,A,2
__import__.location_loc_AB08A4,AB08A4,14,14,__import__.location_family_A,bin,A,B,08,A,4
__import__.location_loc_AB08B1,AB08B1,04,04,__import__.location_family_A,bin,A,B,08,B,1
__import__.location_loc_AB08B2,AB08B2,42,42,__import__.location_family_A,bin,A,B,08,B,2
__import__.location_loc_AB08B3,AB08B3,02,02,__import__.location_family_A,bin,A,B,08,B,3
__import__.location_loc_AB08B4,AB08B4,94,94,__import__.location_family_A,bin,A,B,08,B,4
__import__.location_loc_AB09A1,AB09A1,45,45,__import__.location_family_A,bin,A,B,09,A,1
__import__.location_loc_AB09A2,AB09A2,82,82,__import__.location_family_A,bin,A,B,09,A,2
__import__.location_loc_AB09A3,AB09A3,08,08,__import__.location_family_A,bin,A,B,09,A,3
__import__.location_loc_AB09A4,AB09A4,26,26,__import__.location_family_A,bin,A,B,09,A,4
__import__.location_loc_AB09B1,AB09B1,93,93,__import__.location_family_A,bin,A,B,09,B,1
__import__.location_loc_AB09B2,AB09B2,02,02,__import__.location_family_A,bin,A,B,09,B,2
__import__.location_loc_AB09B3,AB09B3,23,23,__import__.location_family_A,bin,A,B,09,B,3
__import__.location_loc_AB09B4,AB09B4,01,01,__import__.location_family_A,bin,A,B,09,B,4
__import__.location_loc_AB10A1,AB10A1,25,25,__import__.location_family_A,bin,A,B,10,A,1
__import__.location_loc_AB10A2,AB10A2,48,48,__import__.location_family_A,bin,A,B,10,A,2
__import__.location_loc_AB10A3,AB10A3,40,40,__import__.location_family_A,bin,A,B,10,A,3
__import__.location_loc_AB10A4,AB10A4,41,41,__import__.location_family_A,bin,A,B,10,A,4
__import__.location_loc_AB10B1,AB10B1,69,69,__import__.location_family_A,bin,A,B,10,B,1
__import__.location_loc_AB10B2,AB10B2,35,35,__import__.location_family_A,bin,A,B,10,B,2
__import__.location_loc_AB10B3,AB10B3,54,54,__import__.location_family_A,bin,A,B,10,B,3
__import__.location_loc_AB13A1,AB13A1,66,66,__import__.location_family_A,bin,A,B,13,A,1
__import__.location_loc_AB13A2,AB13A2,41,41,__import__.location_family_A,bin,A,B,13,A,2
__import__.location_loc_AB13A3,AB13A3,94,94,__import__.location_family_A,bin,A,B,13,A,3
__import__.location_loc_AB13A4,AB13A4,82,82,__import__.location_family_A,bin,A,B,13,A,4
__import__.location_loc_AB13B1,AB13B1,02,02,__import__.location_family_A,bin,A,B,13,B,1
__import__.location_loc_AB13B2,AB13B2,20,20,__import__.location_family_A,bin,A,B,13,B,2
__import__.location_loc_AB13B3,AB13B3,82,82,__import__.location_family_A,bin,A,B,13,B,3
__import__.location_loc_AB13B4,AB13B4,19,19,__import__.location_family_A,bin,A,B,13,B,4
__import__.location_loc_AB14A1,AB14A1,45,45,__import__.location_family_A,bin,A,B,14,A,1
__import__.location_loc_AB14A2,AB14A2,04,04,__import__.location_family_A,bin,A,B,14,A,2
__import__.location_loc_AB14A3,AB14A3,36,36,__import__.location_family_A,bin,A,B,14,A,3
__import__.location_loc_AB14A4,AB14A4,03,03,__import__.location_family_A,bin,A,B,14,A,4
__import__.location_loc_AB14B1,AB14B1,44,44,__import__.location_family_A,bin,A,B,14,B,1
__import__.location_loc_AB14B2,AB14B2,02,02,__import__.location_family_A,bin,A,B,14,B,2
__import__.location_loc_AB14B3,AB14B3,83,83,__import__.location_family_A,bin,A,B,14,B,3
__import__.location_loc_AB15A1,AB15A1,42,42,__import__.location_family_A,bin,A,B,15,A,1
__import__.location_loc_AB15A2,AB15A2,66,66,__import__.location_family_A,bin,A,B,15,A,2
__import__.location_loc_AB15A3,AB15A3,05,05,__import__.location_family_A,bin,A,B,15,A,3
__import__.location_loc_AB15A4,AB15A4,04,04,__import__.location_family_A,bin,A,B,15,A,4
__import__.location_loc_AB15B1,AB15B1,12,12,__import__.location_family_A,bin,A,B,15,B,1
__import__.location_loc_AB15B2,AB15B2,02,02,__import__.location_family_A,bin,A,B,15,B,2
__import__.location_loc_AB15B3,AB15B3,83,83,__import__.location_family_A,bin,A,B,15,B,3
__import__.location_loc_AB15B4,AB15B4,29,29,__import__.location_family_A,bin,A,B,15,B,4
__import__.location_loc_AB16A1,AB16A1,04,04,__import__.location_family_A,bin,A,B,16,A,1
__import__.location_loc_AB16A2,AB16A2,55,55,__import__.location_family_A,bin,A,B,16,A,2
__import__.location_loc_AB16A3,AB16A3,05,05,__import__.location_family_A,bin,A,B,16,A,3
__import__.location_loc_AB16A4,AB16A4,08,08,__import__.location_family_A,bin,A,B,16,A,4
__import__.location_loc_AB16B1,AB16B1,03,03,__import__.location_family_A,bin,A,B,16,B,1
__import__.location_loc_AB16B2,AB16B2,02,02,__import__.location_family_A,bin,A,B,16,B,2
__import__.location_loc_AB16B3,AB16B3,41,41,__import__.location_family_A,bin,A,B,16,B,3
__import__.location_loc_AB16B4,AB16B4,38,38,__import__.location_family_A,bin,A,B,16,B,4
__import__.location_loc_AB17A1,AB17A1,45,45,__import__.location_family_A,bin,A,B,17,A,1
__import__.location_loc_AB17A2,AB17A2,23,23,__import__.location_family_A,bin,A,B,17,A,2
__import__.location_loc_AB17A3,AB17A3,03,03,__import__.location_family_A,bin,A,B,17,A,3
__import__.location_loc_AB17A4,AB17A4,14,14,__import__.location_family_A,bin,A,B,17,A,4
__import__.location_loc_AB17B1,AB17B1,48,48,__import__.location_family_A,bin,A,B,17,B,1
__import__.location_loc_AB17B2,AB17B2,84,84,__import__.location_family_A,bin,A,B,17,B,2
__import__.location_loc_AB17B3,AB17B3,69,69,__import__.location_family_A,bin,A,B,17,B,3
__import__.location_loc_AB18A1,AB18A1,07,07,__import__.location_family_A,bin,A,B,18,A,1
__import__.location_loc_AB18A2,AB18A2,65,65,__import__.location_family_A,bin,A,B,18,A,2
__import__.location_loc_AB18A3,AB18A3,03,03,__import__.location_family_A,bin,A,B,18,A,3
__import__.location_loc_AB18A4,AB18A4,24,24,__import__.location_family_A,bin,A,B,18,A,4
__import__.location_loc_AB18B1,AB18B1,45,45,__import__.location_family_A,bin,A,B,18,B,1
__import__.location_loc_AB18B3,AB18B3,37,37,__import__.location_family_A,bin,A,B,18,B,3
__import__.location_loc_AB19A1,AB19A1,58,58,__import__.location_family_A,bin,A,B,19,A,1
__import__.location_loc_AB19A2,AB19A2,65,65,__import__.location_family_A,bin,A,B,19,A,2
__import__.location_loc_AB19A3,AB19A3,41,41,__import__.location_family_A,bin,A,B,19,A,3
__import__.location_loc_AB19B1,AB19B1,48,48,__import__.location_family_A,bin,A,B,19,B,1
__import__.location_loc_AB19B2,AB19B2,88,88,__import__.location_family_A,bin,A,B,19,B,2
__import__.location_loc_AB19B3,AB19B3,47,47,__import__.location_family_A,bin,A,B,19,B,3
__import__.location_loc_AB20A1,AB20A1,25,25,__import__.location_family_A,bin,A,B,20,A,1
__import__.location_loc_AB20A2,AB20A2,85,85,__import__.location_family_A,bin,A,B,20,A,2
__import__.location_loc_AB20A3,AB20A3,99,99,__import__.location_family_A,bin,A,B,20,A,3
__import__.location_loc_AB20A4,AB20A4,45,45,__import__.location_family_A,bin,A,B,20,A,4
__import__.location_loc_AB20B1,AB20B1,65,65,__import__.location_family_A,bin,A,B,20,B,1
__import__.location_loc_AB20B2,AB20B2,02,02,__import__.location_family_A,bin,A,B,20,B,2
__import__.location_loc_AB20B3,AB20B3,04,04,__import__.location_family_A,bin,A,B,20,B,3
__import__.location_loc_AB20B4,AB20B4,98,98,__import__.location_family_A,bin,A,B,20,B,4
__import__.location_loc_AB21A1,AB21A1,01,01,__import__.location_family_A,bin,A,B,21,A,1
__import__.location_loc_AB21A2,AB21A2,52,52,__import__.location_family_A,bin,A,B,21,A,2
__import__.location_loc_AB21A3,AB21A3,24,24,__import__.location_family_A,bin,A,B,21,A,3
__import__.location_loc_AB21A4,AB21A4,43,43,__import__.location_family_A,bin,A,B,21,A,4
__import__.location_loc_AB21B1,AB21B1,81,81,__import__.location_family_A,bin,A,B,21,B,1
__import__.location_loc_AB21B2,AB21B2,53,53,__import__.location_family_A,bin,A,B,21,B,2
__import__.location_loc_AB21B3,AB21B3,01,01,__import__.location_family_A,bin,A,B,21,B,3
__import__.location_loc_AB21B4,AB21B4,67,67,__import__.location_family_A,bin,A,B,21,B,4
__import__.location_loc_AB22A1,AB22A1,42,42,__import__.location_family_A,bin,A,B,22,A,1
__import__.location_loc_AB22A2,AB22A2,09,09,__import__.location_family_A,bin,A,B,22,A,2
__import__.location_loc_AB22A3,AB22A3,02,02,__import__.location_family_A,bin,A,B,22,A,3
