code;en_US;fr_BE;nl_BE;parent
Oreilles_soinhyg_paraph;Ears;Oreilles;Oren;soin_hyg_paraph
Peau_et_phaneres_soinhyg_paraph;"Skin and skin appendages";"Peau et phanères";"Huid en huidschilfers";soin_hyg_paraph
Bouche_et_dents_soinhyg_paraph;"Mouth and teeth";"Bouche et dents";"Mond en tanden";soin_hyg_paraph
Muscles_et_appareil_locomoteur_soinhyg_paraph;"Muscles and locomotion";"Muscles et appareil locomoteur";"Spieren en bewegingsapparaat";soin_hyg_paraph
Systeme_respiratoire_soinhyg_paraph;"Respiratory system";"Système respiratoire";Ademhalingssysteem;soin_hyg_paraph
Comportement_soinhyg_paraph;Behaviour;Comportement;Gedrag;soin_hyg_paraph
autre_paraph;Environment;Environnement;Omgeving;paraph
Comportement_envir_paraph;Behaviour;Comportement;Gedrag;autre_paraph
Parasites_envir_paraph;Parasites;Parasites;Parasieten;autre_paraph
Desinfection_envir_paraph;Desinfection;Désinfection;Ontsmetting;autre_paraph
Desodorisant_envir_paraph;"Anti Odor";Désodorisant;Luchtverfrisser;autre_paraph
ali;Food;Aliments;Voeding;master
chien_ali;Dog;Chien;Hond;ali
roy_can_chien;"Royal Canin";"Royal Canin";"Royal Canin";chien_ali
breed_rcchi;Breed;Breed;Breed;roy_can_chien
physio_brcchi;Physiological;Physiologique;Fysiologisch;breed_rcchi
size_health_nutri_rcchi;"Size Health Nutrition";"Size Health Nutrition";"Size Health Nutrition";roy_can_chien
physio_shnrcchi;Physiological;Physiologique;Fysiologisch;size_health_nutri_rcchi
vet_care_nut_rcchi;"Vet Care Nutrition";"Vet Care Nutrition";"Vet Care Nutrition";roy_can_chien
physio_vcnrcchi;Physiological;Physiologique;Fysiologisch;vet_care_nut_rcchi
steril_vcnrcchi;Sterilisation;Stérilisation;Sterilisatie;vet_care_nut_rcchi
vt_diet_rcchi;"Veterinary Diet";"Veterinary Diet";"Veterinary Diet";roy_can_chien
allerg_vdrcchi;Allergy;Allergie;Allergie;vt_diet_rcchi
articul_vdrcchi;Joint;Articulation;Gewricht;vt_diet_rcchi
bucco_dent_vdrcchi;Oral;Bucco-dentaire;"Mond en gebit";vt_diet_rcchi
coeur_vdrcchi;Heart;Cœur;Hart;vt_diet_rcchi
comport_vdrcchi;Behaviour;Comportement;Gedrag;vt_diet_rcchi
conval_vdrcchi;Convalescence;Convalescence;Herstel;vt_diet_rcchi
diabet_vdrcchi;Diabetes;Diabète;Diabetes;vt_diet_rcchi
digest_vdrcchi;Digestion;Digestion;Spijsvertering;vt_diet_rcchi
foie_vdrcchi;Liver;Foie;Lever;vt_diet_rcchi
peau_vdrcchi;Skin;Peau;Huid;vt_diet_rcchi
poids_vdrcchi;Weight;Poids;Gewicht;vt_diet_rcchi
reins_vdrcchi;Kidney;Reins;Nieren;vt_diet_rcchi
urin_vdrcchi;Urinary;Urinaire;Urinair;vt_diet_rcchi
hills_chien;Hill's;Hill's;Hill's;chien_ali
scie_plan_hchi;"Science Plan";"Science Plan";"Science Plan";hills_chien
physio_sphchi;Physiological;Physiologique;Fysiologisch;scie_plan_hchi
vet_ess_hchi;"Vet Essentials";"Vet Essentials";VetEssentials;hills_chien
physio_vehchi;Physiological;Physiologique;Fysiologisch;vet_ess_hchi
steri_vehchi;Sterilisation;Stérilisation;Sterilisatie;vet_ess_hchi
ideal_bal_hchi;"Ideal Balance";"Ideal Balance";"Ideal Balance";hills_chien
physio_ibhchi;Physiological;Physiologique;Fysiologisch;ideal_bal_hchi
biscuits_ibhchi;Biscuits;Biscuits;Koekjes;ideal_bal_hchi
pres_diet_hchi;"Prescription Diet";"Prescription Diet";"Prescription Diet";hills_chien
allerg_pdhchi;Allergy;Allergie;Allergie;pres_diet_hchi
articul_pdhchi;Joint;Articulation;Gewricht;pres_diet_hchi
bucco_dent_pdhchi;Oral;Bucco-dentaire;"Mond en gebit";pres_diet_hchi
coeur_pdhchi;Heart;Cœur;Hart;pres_diet_hchi
comport_pdhchi;Behaviour;Comportement;Gedrag;pres_diet_hchi
conval_pdhchi;Convalescence;Convalescence;Herstel;pres_diet_hchi
diabet_pdhchi;Diabetes;Diabète;Diabetes;pres_diet_hchi
digest_pdhchi;Digestion;Digestion;Spijsvertering;pres_diet_hchi
foie_pdhchi;Liver;Foie;Lever;pres_diet_hchi
peau_pdhchi;Skin;Peau;Huid;pres_diet_hchi
poids_pdhchi;Weight;Poids;Gewicht;pres_diet_hchi
reins_pdhchi;Kidney;Reins;Nieren;pres_diet_hchi
urin_pdhchi;Urinary;Urinaire;Urinair;pres_diet_hchi
biscuits_pdhchi;Biscuits;Biscuits;Koekjes;pres_diet_hchi
nat_best_hchi;"Nature Best";"Nature Best";"Nature Best";hills_chien
physio_nbhchi;Physiological;Physiologique;Fysiologisch;nat_best_hchi
virbac_chien;Virbac;Virbac;Virbac;chien_ali
hpm_vchi;HPM;HPM;HPM;virbac_chien
physio_hpmvchi;Physiological;Physiologique;Fysiologisch;hpm_vchi
allerg_hpmvchi;Allergy;Allergie;Allergie;hpm_vchi
articul_hpmvchi;Joint;Articulation;Gewricht;hpm_vchi
bucco_dent_hpmvchi;Oral;Bucco-dentaire;"Mond en gebit";hpm_vchi
coeur_hpmvchi;Heart;Cœur;Hart;hpm_vchi
comport_hpmvchi;Behaviour;Comportement;Gedrag;hpm_vchi
conval_hpmvchi;Convalescence;Convalescence;Herstel;hpm_vchi
diabet_hpmvchi;Diabetes;Diabète;Diabetes;hpm_vchi
digest_hpmvchi;Digestion;Digestion;Spijsvertering;hpm_vchi
foie_hpmvchi;Liver;Foie;Lever;hpm_vchi
peau_hpmvchi;Skin;Peau;Huid;hpm_vchi
poids_hpmvchi;Weight;Poids;Gewicht;hpm_vchi
reins_hpmvchi;Kidney;Reins;Nieren;hpm_vchi
urin_hpmvchi;Urinary;Urinaire;Urinair;hpm_vchi
vet_comp_vchi;"Vet Complex";"Vet Complex";"Vet Complex";virbac_chien
allerg_vcvchi;Allergy;Allergie;Allergie;vet_comp_vchi
articul_vcvchi;Joint;Articulation;Gewricht;vet_comp_vchi
bucco_dent_vcvchi;Oral;Bucco-dentaire;"Mond en gebit";vet_comp_vchi
coeur_vcvchi;Heart;Cœur;Hart;vet_comp_vchi
comport_vcvchi;Behaviour;Comportement;Gedrag;vet_comp_vchi
conval_vcvchi;Convalescence;Convalescence;Herstel;vet_comp_vchi
diabet_vcvchi;Diabetes;Diabète;Diabetes;vet_comp_vchi
digest_vcvchi;Digestion;Digestion;Spijsvertering;vet_comp_vchi
foie_vcvchi;Liver;Foie;Lever;vet_comp_vchi
peau_vcvchi;Skin;Peau;Huid;vet_comp_vchi
poids_vcvchi;Weight;Poids;Gewicht;vet_comp_vchi
reins_vcvchi;Kidney;Reins;Nieren;vet_comp_vchi
urin_vcvchi;Urinary;Urinaire;Urinair;vet_comp_vchi
specific_chien;Specific;Specific;Specific;chien_ali
speci_schi;Specific;Specific;Specific;specific_chien
physio_sschi;Physiological;Physiologique;Fysiologisch;speci_schi
allerg_sschi;Allergy;Allergie;Allergie;speci_schi
articul_sschi;Joint;Articulation;Gewricht;speci_schi
bucco_dent_sschi;Oral;Bucco-dentaire;"Mond en gebit";speci_schi
coeur_sschi;Heart;Cœur;Hart;speci_schi
comport_sschi;Behaviour;Comportement;Gedrag;speci_schi
conval_sschi;Convalescence;Convalescence;Herstel;speci_schi
diabet_sschi;Diabetes;Diabète;Diabetes;speci_schi
digest_sschi;Digestion;Digestion;Spijsvertering;speci_schi
foie_sschi;Liver;Foie;Lever;speci_schi
peau_sschi;Skin;Peau;Huid;speci_schi
poids_sschi;Weight;Poids;Gewicht;speci_schi
reins_sschi;Kidney;Reins;Nieren;speci_schi
urin_sschi;Urinary;Urinaire;Urinair;speci_schi
biscuits_sschi;Biscuits;Biscuits;Koekjes;speci_schi
pp_pur_chien;"Purina Pro Plan";"Pro Plan Purina";"Pro Plan Purina";chien_ali
pro_plan_pppchi;"Pro Plan";"Pro Plan";"Pro Plan";pp_pur_chien
physio_pppppchi;Physiological;Physiologique;Fysiologisch;pro_plan_pppchi
steril_pppppchi;Sterilisation;Stérilisation;Sterilisatie;pro_plan_pppchi
biscuits_pppppchi;Biscuits;Biscuits;Koekjes;pro_plan_pppchi
pp_pur_vet_d_pppchi;"Pro Plan Purina Veterinary Diet";"Pro Plan Purina Veterinary Diet";"Pro Plan Purina Veterinary Diet";pp_pur_chien
allerg_pppvdppchi;Allergy;Allergie;Allergie;pp_pur_vet_d_pppchi
articul_pppvdppchi;Joint;Articulation;Gewricht;pp_pur_vet_d_pppchi
bucco_dent_pppvdppchi;Oral;Bucco-dentaire;"Mond en gebit";pp_pur_vet_d_pppchi
coeur_pppvdppchi;Heart;Cœur;Hart;pp_pur_vet_d_pppchi
comport_pppvdppchi;Behaviour;Comportement;Gedrag;pp_pur_vet_d_pppchi
conval_pppvdppchi;Convalescence;Convalescence;Herstel;pp_pur_vet_d_pppchi
