code;en_US;fr_BE;nl_BE;parent
appdester_hygetster_equip;"Sterilisation equipment";"Appareils de stérilisation";Sterilisatietoestellen;hygetster_equip
consdester_hygetster_equip;"Sterilisation consumables";"Consommables de stérilisation";"Verbruiksgoederen voor sterilisatie";hygetster_equip
accdester_hygetster_equip;"Sterilisation accessories";"Accessoires de stérilisation";"Toebehoren voor sterilisatie";hygetster_equip
nettulson_hygetster_equip;"Ultrasonic cleaner";"Nettoyeur ultra sons";"Ultrasonische reinigers";hygetster_equip
boitplatettamb_hygetster_equip;"Boxes, trays and drums";"Boîtes, plateaux et tambours";"Dozen, schalen en trommels";hygetster_equip
antietdes_hygetster_equip;"Antiseptics and disinfectants";"Antiseptiques et désinfectants";"Antiseptica en desinfectantia";hygetster_equip
mains_antietdes_hygetster_equip;Hands;Mains;Handen;antietdes_hygetster_equip
predesinfdumat_antietdes_hygetster_equip;"Pre-disinfection equipment";"Prédésinfection du matériel";"Voorontsmetting van materiaal";antietdes_hygetster_equip
desinfsteriafrd_antietdes_hygetster_equip;"Disinfectant - cold sterilisation";"Désinfectant – stérilisation à froid";"Ontsmetting - koude sterilisatie";antietdes_hygetster_equip
divers_antietdes_hygetster_equip;Various;Divers;Allerlei;antietdes_hygetster_equip
instru;Instrumentation;Instrumentation;Instrumentarium;mat
chirgen_instru;"General surgery";"Chirurgie générale";"Algemene chirurgie";instru
ciseau_chirgen_instru;Scissors;Ciseaux;Scharen;chirgen_instru
pince_chirgen_instru;Pliers;Pinces;Pincetten;chirgen_instru
portaig_chirgen_instru;"Needle - holder";"Porte – aiguilles";Naaldvoerders;chirgen_instru
ecartpasdane_chirgen_instru;"Spacers – Coltsfoot";"Ecarteurs – Pas d’Anes";"Wond - en kaaksperder";chirgen_instru
ophtalmo_instru;Ophthalmology;Ophtalmologie;Oogheelkunde;instru
ophtalmo_ophtalmo_instru;Ophthalmology;Ophtalmologie;Oogheelkunde;ophtalmo_instru
osteo_instru;Osteosynthesis;Ostéosynthèse;Osteosynthese;instru
plaq_osteo_instru;Plates;Plaques;Platen;osteo_instru
vis_osteo_instru;Screw;Vis;Schroeven;osteo_instru
instrum_osteo_instru;Instruments;Instruments;Instrumenten;osteo_instru
osteoalcy_instru;"Alcyon Range";"Gamme Alcyon";Alcyon-assortiment;instru
esf_osteoalcy_instru;ESF;ESF;ESF;osteoalcy_instru
clr_osteoalcy_instru;CLR;CLR;CLR;osteoalcy_instru
tplo_osteoalcy_instru;TPLO;TPLO;TPLO;osteoalcy_instru
ttaetttaxgen_osteoalcy_instru;"TTA & TTA X-GEN";"TTA & TTA X-GEN";"TTA & TTA X-GEN";osteoalcy_instru
clm_osteoalcy_instru;CLM;CLM;CLM;osteoalcy_instru
pwm_osteoalcy_instru;PWM;PWM;PWM;osteoalcy_instru
moteur_osteoalcy_instru;Engines;Moteurs;Motoren;osteoalcy_instru
dentist_intru;Dentistry;Dentisterie;Tandheelkunde;instru
instrudedent_dentist_intru;"Dental Instruments";"Instruments de dentisterie";"Tandheelkundige instrumenten";dentist_intru
prodpierrol_dentist_intru;"Dental products";"Produits de dentisteries";"Tandheelkundige producten";dentist_intru
dentistnac_dentist_intru;"NAC Dentistry";"Dentisterie NAC";"Tandheelkunde nieuwe gezelschapsdieren";dentist_intru
equi;Equine;Equine;Paarden;mat
conso_equi;Consumables;Consommables;Verbruiksproducten;equi
perftrans_conso_equi;"Drip - transfusion";"Perfusion - transfusion";"Infusie - transfusie";conso_equi
protetsoindsplaie_conso_equi;"Wound protection and care";"Protection et soin des plaies";"Wondbescherming en -verzorging";conso_equi
ponct_conso_equi;Punctures;Ponctions;Puncties;conso_equi
chpsetgant_conso_equi;"Fields and Gloves";"Champs et Gants";"Operatiedoeken en handschoenen";conso_equi
div_conso_equi;Various;Divers;Allerlei;conso_equi
dentist_equi;Dentistry;Dentisterie;Tandheelkunde;equi
dentis_dentist_equi;Dentistry;Dentisterie;Tandheelkunde;dentist_equi
mare_equi;Farriery;Maréchalerie;Hoefsmederij;equi
marech_mare_equi;Farriery;Maréchalerie;Hoefsmederij;mare_equi
castra_equi;Castration;Castration;Castratie;equi
castra_castra_equi;Castration;Castration;Castratie;castra_equi
insearttransfembr_equi;"Artificial insemination - Embryo transfer";"Insémination artificielle - Transfert d'embryon";"Kunstmatige inseminatie - Embryotransplantatie";equi
recoltesem_insearttransfembr_equi;"Seed harvest";"Récolte de la semence";Sperma-afname;insearttransfembr_equi
decongetexamsem_insearttransfembr_equi;"Thawing and examination of the seed";"Décongélation et examen de la semence";"Ontdooiing en spermaonderzoek";insearttransfembr_equi
traspetstoc_insearttransfembr_equi;"Transport and storage";"Transport et stockage";"Transport en opslag";insearttransfembr_equi
insem_insearttransfembr_equi;"Health control and Insemination";"Contrôle sanitaire et Insémination";"Gezondheidscontrole en Inseminatie";insearttransfembr_equi
transf_insearttransfembr_equi;"Embryo transfer";"Transfert d'embryon";Embryotransplantatie;insearttransfembr_equi
gynuro_equi;"Gynaecology - Urology";"Gynecologie - Urologie";"Gynaecologie - Urologie";equi
gynuro_gynuro_equi;"Gynaecology - Urology";"Gynecologie - Urologie";"Gynaecologie - Urologie";gynuro_equi
digest_equi;Digestive;Digestif;Spijsvertering;equi
digest_digest_equi;Digestive;Digestif;Spijsvertering;digest_equi
respi_equi;Respiratory;Respiratoire;Ademhaling;equi
respi_respi_equi;Respiratory;Respiratoire;Ademhaling;respi_equi
equip_equi;Equipment;Equipement;Uitrusting;equi
chir_equip_equi;Surgery;Chirurgie;Chirurgie;equip_equi
anesth_equip_equi;Anaesthesia;Anesthésie;Anesthesie;equip_equi
image_equip_equi;Imagery;Imagerie;Beeldvorming;equip_equi
tonte_equip_equi;Shearing;Tonte;Scheren;equip_equi
div_equip_equi;Various;Divers;Allerlei;equip_equi
diagnolabo_equi;"Diagnosis - Laboratory";"Diagnostique - Laboratoire";"Diagnostiek - Laboratorium";equi
ophta_equi;Ophthalmology;Ophtalmologie;Oogheelkunde;equi
contprot_equi;"Contention - Protection";"Contention - Protection";"Fixatie - Bescherming";equi
cont_contprot_equi;Contention;Contention;Fixatie;contprot_equi
hygetacc_equi;"Hygiene and accessories";"Hygiène et accessoires";"Hygiëne en toebehoren";equi
hygetacc_hygetacc_equi;"Hygiene and accessories";"Hygiène et accessoires";"Hygiëne en toebehoren";hygetacc_equi
rur;Rural;Rurale;Landbouw;mat
inj_rur;Injection;Injection;Injectie;rur
aighypo_inj_rur;"Hypodermic needles";"Aiguilles hypodermique";Injectienaalden;inj_rur
divers_aighypo_inj_rur;Various;Divers;Allerlei;aighypo_inj_rur
ser_inj_rur;Syringes;Seringues;Spuiten;inj_rur
multiusg_ser_inj_rur;Multifunction;"Multi – usage";Multifunctioneel;ser_inj_rur
perf_inj_rur;Drip;Perfusion;Infusie;inj_rur
gant_rur;Gloves;Gants;Handschoenen;rur
gantdevel_gant_rur;"Calving gloves";"Gants de vêlage";Verloshandschoenen;gant_rur
habi_rur;Clothing;Habillement;Kleding;rur
habil_habi_rur;Clothing;Habillement;Kleding;habi_rur
uu_habil_habi_rur;"Single use";"Usage unique";"Eenmalig gebruik";habil_habi_rur
tiss_habil_habi_rur;Woven;Tissés;Geweven;habil_habi_rur
botte_habil_habi_rur;Boots;Bottes;Laarzen;habil_habi_rur
gyn_rur;Gynaecology;Gynecologie;Gynaecologie;rur
gynevel_gyn_rur;"Gynaecology - calving";"Gynécologie – vêlage";"Gynaecologie - kalving";gyn_rur
insembov_gyn_rur;"Cattle insemination";"Insémination bovins";"Inseminatie runderen";gyn_rur
insemporc_gyn_rur;"Ovine / Swine insemination";"Insémination ovins / porcs";"Inseminatie schapen / varkens";gyn_rur
matern_gyn_rur;Maternity;Maternité;Materniteit;gyn_rur
soindupied_gyn_rur;"Care of piglets";"Soins aux porcelets";"Verzorging van biggen";gyn_rur
soindelamam_gyn_rur;"Udder care";"Soin de la mamelle";Uierverzorging;gyn_rur
castra_gyn_rur;Castration;Castration;Castratie;gyn_rur
cont_rur;Contention;Contention;Fixatie;rur
cont_cont_rur;Contention;Contention;Fixatie;cont_rur
abat_rur;Abattoir/Abattage;Abattoir/Abattage;Slachthuis;rur
soindupied_rur;"Foot care";"Soin du pied";Hoefverzorging;rur
soindupied_soindupied_rur;"Foot care";"Soin du pied";Hoefverzorging;soindupied_rur
ecorn_rur;Dehorning;Ecornage;Onthoorning;rur
ecorn_ecorn_rur;Dehorning;Ecornage;Onthoorning;ecorn_rur
digest_rur;Digestive;Digestif;Spijsvertering;rur
digest_digest_rur;Digestive;Digestif;Spijsverterings-;digest_rur
drog_rur;Drogage;Drogage;Verdoving;rur
marq_rur;Marking;Marquage;Merkken;rur
tont_rur;Shearing;Tonte;Scheren;rur
tondelec_tont_rur;"Electric clippers";"Tondeuses électriques";"Elektrische scheerapparaten";tont_rur
tondman_tont_rur;"Manual clippers";"Tondeuses manuelles";"Manuele scheerapparaten";tont_rur
accpourtond_tont_rur;"Accessories for clippers";"Accessoires pour tondeuses";"Toebehoren voor scheerapparaten";tont_rur
vol_rur;Poultry;Volaille;Pluimvee;rur
ident_vol_rur;Identification;Identification;Identificatie;vol_rur
vacci_vol_rur;Vaccination;Vaccination;Vaccinatie;vol_rur
diagetlocelev_rur;"Diagnosis and livestock rearing";"Diagnostic et locaux d’élevage";"Diagnostiek en stallen";rur
nac;NAC;NAC;Knaagdieren;mat
nac_nac;NAC;NAC;Knaagdieren;nac
proped_nac_nac;Preparatory;Propédeutique;Propedeuse;nac_nac
chiranesth_nac_nac;"Surgery - Anaesthesia";"Chirurgie - Anesthésie";"Chirurgie - Anesthesie";nac_nac
dent_nac_nac;Dentistry;Dentisterie;Tandheelkunde;nac_nac
endosc_nac_nac;Endoscopy;Endoscopie;Endoscopie;nac_nac
divers_nac_nac;Various;Divers;Allerlei;nac_nac
anmxcie;Pets;"Animaux de compagnie";Huisdieren;mat
chien_anmxcie;Dog;Chien;Hond;anmxcie
sell_chien_anmxcie;Saddlery;Sellerie;"Hals- en leibanden";chien_anmxcie
musel_chien_anmxcie;Muzzle;Muselière;Muilbanden;chien_anmxcie
corbeil_chien_anmxcie;Baskets;Corbeilles;Manden;chien_anmxcie
habil_chien_anmxcie;Clothing;Habillement;Kleding;chien_anmxcie
hyg_chien_anmxcie;Hygiene;Hygiène;Hygiëne;chien_anmxcie
agility_chien_anmxcie;Agility;Agility;Agility;chien_anmxcie
jouetfriand_chien_anmxcie;"Toys and treats";"Jouets et friandises";"Speelgoed en snoepjes";chien_anmxcie
distribetgamel_chien_anmxcie;"Dispensers and bowls";"Distributeurs et gamelles";"Verdelers en eetbakken";chien_anmxcie
transp_chien_anmxcie;Transport;Transport;Transport;chien_anmxcie
educ_chien_anmxci;Training;Education;Training;chien_anmxcie
chat_anmxcie;Cat;Chat;Kat;anmxcie
sell_chat_anmxcie;Saddlery;Sellerie;"Hals- en leibanden";chat_anmxcie
hyg_chat_anmxcie;Hygiene;Hygiène;Hygiëne;chat_anmxcie
litiere_chat_anmxcie;Litter;Litière;Kattenbakvulling;chat_anmxcie
jouetfriand_chat_anmxcie;"Toys and treats";"Jouets et friandises";"Speelgoed en snoepjes";chat_anmxcie
distribetgamel_chat_anmxcie;"Dispensers and bowls";"Distributeurs et gamelles";"Verdelers en eetbakken";chat_anmxcie
habita_chat_anmxcie;Habitat;Habitat;Dierenverblijf;chat_anmxcie
transp_chat_anmxcie;Transport;Transport;Transport;chat_anmxcie
nac_anmxcie;NAC;NAC;"Knaagdieren - Reptielen";anmxcie
sell_nac_anmxcie;Saddlery;Sellerie;"Hals- en leibanden";nac_anmxcie
habit_nac_anmxcie;Habitat;Habitat;Dierenverblijf;nac_anmxcie
hyg_nac_anmxcie;Hygiene;Hygiène;Hygiëne;nac_anmxcie
jouetfriand_nacanmxcie;"Jouets et friandises";"Jouets et friandises";"Speelgoed en snoepjes";nac_anmxcie
transp_nac_anmxcie;Transport;Transport;Transport;nac_anmxcie
divers_nac_anmxcie;Various;Divers;Allerlei;nac_anmxcie
vieprat;"Practical life";"Vie pratique";"Hygiene en allerlei";mat
vetdeconsult_vieprat;"Consultation clothing";"Vêtements de consultation";"Medische kleding";vieprat
tuniq_vetdeconsult_vieprat;Tunic;Tunique;Tuniek;vetdeconsult_vieprat
blous_vetdeconsult_vieprat;Blouse;Blouse;Schort;vetdeconsult_vieprat
sabot_vetdeconsult_vieprat;Clog;Sabot;Klomp;vetdeconsult_vieprat
pantalon_vetdeconsult_vieprat;Trousers;Pantalon;Broek;vetdeconsult_vieprat
hyg_vieprat;Hygiene;Hygiène;Hygiëne;vieprat
hygdupers_hyg_vieprat;"Staff hygiene";"Hygiène du personnel";Personenhygiëne;hyg_vieprat
mains_hygdupers_hyg_vieprat;Hands;Mains;Handen;hygdupers_hyg_vieprat
linge_hygdupers_hyg_vieprat;Laundry;Linge;Linnen;hygdupers_hyg_vieprat
sanit_hygdupers_hyg_vieprat;Toilets;Sanitaires;Hygiënische;hygdupers_hyg_vieprat
hygdelenv_hyg_vieprat;"Environmental hygiene";"Hygiène de l’environnement";Omgevingshygiëne;hyg_vieprat
sols_hygdupers_hyg_vieprat;Floors;Sols;Vloeren;hygdelenv_hyg_vieprat
sufacehaut_hygdupers_hyg_vieprat;"High surfaces";"Surfaces hautes";"Hoge oppervlakken";hygdelenv_hyg_vieprat
proddesodchenetcag_hygdupers_hyg_vieprat;"Kennel and Cage products and deodorants";"Produits désodorisants Chenil et Cages";"Desodoriserende producten voor kennels en kooien";hygdelenv_hyg_vieprat
instrum_hyg_vieprat;Instrumentation;Instrumentation;Instrumentarium;hyg_vieprat
equipmenag_hyg_vieprat;"Household equipment";"Équipement ménager";Inrichting;hyg_vieprat
materiel_hyg_vieprat;Equipment;Matériel;Materiaal;hyg_vieprat
access_hyg_vieprat;Accessories;Accessoires;Toebehoren;hyg_vieprat
papeterie_vieprat;Papeterie;Papeterie;Papierwaren;vieprat
papier_papeterie_vieprat;Paper;Papier;Papier;papeterie_vieprat
com_vieprat;Communication;Communication;Communicatie;vieprat
comext_com_vieprat;"Communication externe";"External communication";"Externe communicatie";com_vieprat
pcdetach;"Separate parts";"Pièces détachées";Reserveonderdelen;mat
ampetbat_pcdetach;"Bulbs and batteries";"Ampoules et batteries";"Lampen en batterijen";pcdetach
anesth_pcdetach;Anaesthesia;Anesthésie;Anesthesie;pcdetach
detart_pcdetach;Scalers;Détartreurs;Tandsteenreinigers;pcdetach
develop_pcdetach;Developer;Développeuse;Ontwikkelmachine;pcdetach
ser_pcdetach;Syringes;Seringues;Spuiten;pcdetach
tond_pcdetach;Clippers;Tondeuses;Scheerapparaten;pcdetach
sav_pcdetach;"SAV entretien et maintenance";"SAV entretien et maintenance";"Dienst na verkoop / onderhoud";pcdetach
