"id","bin_checksum_2"
"__import__.location_loc_GB10B2","55"
"__import__.location_loc_GB10B3","21"
"__import__.location_loc_GB10B4","91"
"__import__.location_loc_GB10B5","32"
"__import__.location_loc_GB10C1","45"
"__import__.location_loc_GB10C2","09"
"__import__.location_loc_GB10C3","42"
"__import__.location_loc_GB10C4","40"
"__import__.location_loc_GB10C5","81"
"__import__.location_loc_GB10D1","50"
"__import__.location_loc_GB10D2","49"
"__import__.location_loc_GB10D4","51"
"__import__.location_loc_GB10D5","03"
"__import__.location_loc_GB10E1","66"
"__import__.location_loc_GB10E2","97"
"__import__.location_loc_GB10E3","58"
"__import__.location_loc_GB10E4","71"
"__import__.location_loc_GB10F1","67"
"__import__.location_loc_GB10F2","10"
"__import__.location_loc_GB10F3","07"
"__import__.location_loc_GB10F4","61"
"__import__.location_loc_GB12A1","25"
"__import__.location_loc_GB12A2","05"
"__import__.location_loc_GB12A3","70"
"__import__.location_loc_GB12A4","13"
"__import__.location_loc_GB12A5","06"
"__import__.location_loc_GB12B1","92"
"__import__.location_loc_GB12B2","99"
"__import__.location_loc_GB12B3","34"
"__import__.location_loc_GB12B4","88"
"__import__.location_loc_GB12B5","02"
"__export__.stock_location_14410","87"
"__import__.location_loc_GB12C1","49"
"__import__.location_loc_GB12C2","54"
"__import__.location_loc_GB12C3","52"
"__import__.location_loc_GB12C4","77"
"__import__.location_loc_GB12C5","36"
"__import__.location_loc_GB12D1","21"
"__import__.location_loc_GB12D2","65"
"__import__.location_loc_GB12D3","58"
"__import__.location_loc_GB12D4","76"
"__import__.location_loc_GB12D5","20"
"__import__.location_loc_GB12D6","37"
"__import__.location_loc_GB12E1","60"
"__import__.location_loc_GB12E2","10"
"__import__.location_loc_GB12E3","73"
"__import__.location_loc_GB12E4","86"
"__import__.location_loc_GB13A1","83"
"__import__.location_loc_GB13A2","98"
"__import__.location_loc_GB13A3","05"
"__import__.location_loc_GB13A4","59"
"__import__.location_loc_GB13A5","29"
"__import__.location_loc_GB13A6","80"
"__import__.location_loc_GB13A7","41"
"__import__.location_loc_GB13A8","43"
"__import__.location_loc_GB13A9","20"
"__import__.location_loc_GB13B1","74"
"__import__.location_loc_GB13B2","26"
"__import__.location_loc_GB13B3","23"
"__import__.location_loc_GB13B4","03"
"__import__.location_loc_GB13B5","17"
"__import__.location_loc_GB13B6","70"
"__import__.location_loc_GB13B7","36"
"__import__.location_loc_GB13B8","47"
"__import__.location_loc_GB13C1","04"
"__import__.location_loc_GB13C2","94"
"__import__.location_loc_GB13C3","77"
"__import__.location_loc_GB13C4","01"
"__import__.location_loc_GB13C5","57"
"__import__.location_loc_GB13C6","84"
"__import__.location_loc_GB13C7","93"
"__import__.location_loc_GB13D1","42"
"__import__.location_loc_GB13D2","95"
"__import__.location_loc_GB13D3","75"
"__import__.location_loc_GB13D4","46"
"__import__.location_loc_GB13D5","45"
"__import__.location_loc_GB13D6","65"
"__import__.location_loc_GB13D7","56"
"__import__.location_loc_GB13D8","38"
"__import__.location_loc_GB13E1","28"
"__import__.location_loc_GB13E2","61"
"__import__.location_loc_GB13E3","09"
"__import__.location_loc_GB13E4","34"
"__import__.location_loc_GB13E5","71"
"__import__.location_loc_GB13E6","58"
"__import__.location_loc_GB13E7","87"
"__import__.location_loc_GB13E8","89"
"__import__.location_loc_GB13E9","92"
"__import__.location_loc_GB14A1","16"
"__import__.location_loc_GB14A2","81"
"__import__.location_loc_GB14A3","36"
