id,name,bin_checksum_1,location_id/id,kind,zone,corridor,shelf,height,box
__import__.location_loc_QFB230,QFB230,98,__import__.location_family_Q,bin,Q,F,B,2,30
__import__.location_loc_QBC420,QBC420,27,__import__.location_family_Q,bin,Q,B,C,4,20
__import__.location_loc_QFB415,QFB415,00,__import__.location_family_Q,bin,Q,F,B,4,15
__import__.location_loc_GF14D5,GF14D5,87,__import__.location_family_G,bin,G,F,1,4,D5
__import__.location_loc_GZZ303,GZZ303,29,__import__.location_family_G,bin,G,Z,Z,3,03
__import__.location_loc_AA03A2,AA03A2,70,__import__.location_family_A,bin,A,A,03,A,2
__import__.location_loc_AFD120,AFD120,70,__import__.location_family_A,bin,A,F,D1,2,0
__import__.location_loc_AF03B8,AF03B8,69,__import__.location_family_A,bin,A,F,03,B,8
__import__.location_loc_AE05B5,AE05B5,07,__import__.location_family_A,bin,A,E,05,B,5
__import__.location_loc_AF10A4,AF10A4,44,__import__.location_family_A,bin,A,F,10,A,4
__import__.location_loc_AG05A4,AG05A4,24,__import__.location_family_A,bin,A,G,05,A,4
__import__.location_loc_AI17B8,AI17B8,61,__import__.location_family_A,bin,A,I,17,B,8
__import__.location_loc_AA10B4,AA10B4,02,__import__.location_family_A,bin,A,A,10,B,4
__import__.location_loc_AB13B5,AB13B5,01,__import__.location_family_A,bin,A,B,13,B,5
__import__.location_loc_AD02B3,AD02B3,02,__import__.location_family_A,bin,A,D,02,B,3
__import__.location_loc_AB13B3,AB13B3,02,__import__.location_family_A,bin,A,B,13,B,3
__import__.location_loc_AF02B4,AF02B4,01,__import__.location_family_A,bin,A,F,02,B,4
__import__.location_loc_AC02B4,AC02B4,22,__import__.location_family_A,bin,A,C,02,B,4
__import__.location_loc_AE07B1,AE07B1,02,__import__.location_family_A,bin,A,E,07,B,1
__import__.location_loc_GGI201,GGI201,11,__import__.location_family_G,bin,G,G,I,2,01
__import__.location_loc_GK01A5,GK01A5,66,__import__.location_family_G,bin,G,K,0,1,A5
__import__.location_loc_EOH121,EOH121,,__import__.location_family_E,bin,E,O,H,1,21
__import__.location_loc_GK06B4,GK06B4,17,__import__.location_family_G,bin,G,K,0,6,B4
__import__.location_loc_GBP319,GBP319,27,__import__.location_family_G,bin,G,B,P,3,19
