id,create_date,default_code,list_price,standard_price,indicated_price,sale_delay,weight,length,width,depth,uom_po_id/id,uom_id/id,medical_device,cnk_code,web_published,barcode,tracking,taxes_id/id,supplier_taxes_id/id,categ_id/id,type,state_id/id,unit_in_shrink_wrap,unit_in_box,unit_in_pallet,storage_temperature_id/id,ratio_main_product,ratio_additional_product,orderpoint_min,orderpoint_max,veterinary_only,route_ids/id,active,name,price_category_id/id,manufacturer/id,orderpoint_qty_multiple
__import__.product_2488757,2008-08-12,2488757,27.04,14.10,41.56,0,0.16,12.10,6.70,10.20,product.product_uom_unit,product.product_uom_unit,,2488757,False,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_divers_veto,product,specific_purchase.product_state_l,20,20,0,specific_product.product_storage_temperature_ambient,0,0,0,0,,purchase.route_warehouse0_buy,False,CARPRODYL F  50MG 100CP,,__import__.supplier_79100,0
__import__.product_2518835,2008-09-29,2518835,91.57,59.69,140.74,0,0.32,8.40,16.50,12.90,product.product_uom_unit,product.product_uom_unit,,2518835,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_antimicrobiens,product,,0,10,0,specific_product.product_storage_temperature_ambient,0,0,20.000,55.000,,purchase.route_warehouse0_buy,True,NOROCLAV 500MG 100CP,,__import__.supplier_66906,1
__import__.product_2552271,2008-09-22,2552271,10.83,8.47,16.64,0,0.05,5.20,4.90,6.40,product.product_uom_unit,product.product_uom_unit,,2552271,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_vasculo,product,,10,100,0,specific_product.product_storage_temperature_ambient,0,0,120.000,180.000,,purchase.route_warehouse0_buy,True,"VETMEDIN 1,25MG  50CP CHEW BLISTER",,__import__.supplier_62750,10
__import__.product_2561165,2008-11-23,2561165,56.58,29.52,86.96,0,0.46,6.90,6.90,15.00,product.product_uom_unit,product.product_uom_unit,,2561165,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_003_in,l10n_be_antibiotic_tax.1_antibiotic_003_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_antimicrobiens,product,,15,15,0,specific_product.product_storage_temperature_ambient,0,0,10.000,20.000,,purchase.route_warehouse0_buy,True,FLOXADIL  5% 250ml,,__import__.supplier_66008,15
__import__.product_2575421,2009-03-03,2575421,50.69,37.45,77.91,0,0.06,5.00,4.50,11.00,product.product_uom_unit,product.product_uom_unit,,2575421,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_hormones,product,,0,0,0,specific_product.product_storage_temperature_ambient,0,0,56.000,208.000,,purchase.route_warehouse0_buy,True,PREDNISOLONE  20MG KELA 100CP,,__import__.supplier_83300,1
__import__.product_2604965,2009-08-10,2604965,3.10,2.43,4.76,0,0.03,4.20,4.20,11.80,product.product_uom_unit,product.product_uom_unit,,2604965,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_divers_veto,product,,0,72,0,specific_product.product_storage_temperature_ambient,0,0,144.000,460.000,,purchase.route_warehouse0_buy,True,"LOXICOM 1,5MG/ml  10ml CHIENS",,__import__.supplier_66906,1
__import__.product_2655116,2010-02-23,2655116,19.44,16.05,34.11,0,0.14,4.10,4.10,17.90,product.product_uom_unit,product.product_uom_unit,,2655116,True,,lot,l10n_be.1_attn_VAT-OUT-21-L,l10n_be.1_attn_VAT-IN-V81-21,specific_data.product_categ_ali_comp,product,specific_purchase.product_state_a,0,12,0,specific_product.product_storage_temperature_ambient,0,0,33.000,90.000,,purchase.route_warehouse0_buy,True,VIACUTAN PLUS  95ml MULTIDOSE SOL ORALE,,__import__.supplier_62750,1
__import__.product_2656759,2011-03-15,2656759,18.48,12.35,28.41,0,0.01,7.70,6.70,2.30,product.product_uom_unit,product.product_uom_unit,,2656759,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_antiparasite,product,,0,130,0,specific_product.product_storage_temperature_ambient,0,0,300.000,500.000,,purchase.route_warehouse0_buy,True,DRONTAL LARGE DOG FLAVOUR 2CP,,__import__.supplier_62600,1
__import__.product_2657393,2009-11-30,2657393,126.58,110.00,194.55,0,0.20,5.20,5.40,10.20,product.product_uom_unit,product.product_uom_unit,,2657393,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out,l10n_be_antibiotic_tax.1_antibiotic_005_in,l10n_be_antibiotic_tax.1_antibiotic_005_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_antimicrobiens,product,,10,0,0,specific_product.product_storage_temperature_ambient,0,0,15.000,42.000,,purchase.route_warehouse0_buy,True,NAXCEL BOVIN 100ml,,__import__.supplier_79201,10
__import__.product_2680551,2010-04-16,2680551,203.20,150.10,312.32,0,0.30,12.50,9.00,17.50,product.product_uom_unit,product.product_uom_unit,,2680551,True,,lot,"l10n_be.1_attn_VAT-OUT-06-L,l10n_be_apb_tax.1_apb_01_out",l10n_be.1_attn_VAT-IN-V81-06,specific_data.product_categ_antiparasite,product,,1,36,0,specific_product.product_storage_temperature_ambient,1,5,18.000,59.000,,purchase.route_warehouse0_buy,True,MILBEMAX CHEWY GRAND CHIEN 48CP +de5kg,,__import__.supplier_66200,1
