id,location_id/id,product_qty,product_id/id,prod_lot_id/id
__import__.stock_inventory_line_17K23G8903_8189008,__import__.location_loc_GE08B3,200,__import__.product_8189008,__import__.stock_production_lot_17K23G8903_8189008
__import__.stock_inventory_line_17L08_7920036,__import__.location_loc_GD08A2,20,__import__.product_7920036,__import__.stock_production_lot_17L08_7920036
__import__.stock_inventory_line_17L08_7920005,__import__.location_loc_GC02D2,15,__import__.product_7920005,__import__.stock_production_lot_17L08_7920005
__import__.stock_inventory_line_170039_8456567,__import__.location_loc_GL01A1,37,__import__.product_8456567,__import__.stock_production_lot_170039_8456567
__import__.stock_inventory_line_170298_2382729,__import__.location_loc_GGB102,130,__import__.product_2382729,__import__.stock_production_lot_170298_2382729
__import__.stock_inventory_line_1703207_5259805,__import__.location_loc_GE01A2,2,__import__.product_5259805,__import__.stock_production_lot_1703207_5259805
__import__.stock_inventory_line_1704121_3033123,__import__.location_loc_GAA220,605,__import__.product_3033123,__import__.stock_production_lot_1704121_3033123
__import__.stock_inventory_line_170511M_8002487,__import__.location_loc_GK06A1,3,__import__.product_8002487,__import__.stock_production_lot_170511M_8002487
__import__.stock_inventory_line_1706027_5610506,__import__.location_loc_GD20E2,1,__import__.product_5610506,__import__.stock_production_lot_1706027_5610506
__import__.stock_inventory_line_1706029_8101539,__import__.location_loc_GGP403,8,__import__.product_8101539,__import__.stock_production_lot_1706029_8101539
__import__.stock_inventory_line_170610B_8002501,__import__.location_loc_GK05B5,14,__import__.product_8002501,__import__.stock_production_lot_170610B_8002501
__import__.stock_inventory_line_170610M_8002487,__import__.location_loc_GK06A1,31,__import__.product_8002487,__import__.stock_production_lot_170610M_8002487
__import__.stock_inventory_line_170617B_8002501,__import__.location_loc_GK05B5,23,__import__.product_8002501,__import__.stock_production_lot_170617B_8002501
__import__.stock_inventory_line_170617W_8002493,__import__.location_loc_GK13B1,25,__import__.product_8002493,__import__.stock_production_lot_170617W_8002493
__import__.stock_inventory_line_170623S_8270065,__import__.location_loc_GK03B5,49,__import__.product_8270065,__import__.stock_production_lot_170623S_8270065
__import__.stock_inventory_line_170624B_8002501,__import__.location_loc_GK05B5,12,__import__.product_8002501,__import__.stock_production_lot_170624B_8002501
__import__.stock_inventory_line_170707B_8002501,__import__.location_loc_GK05B5,71,__import__.product_8002501,__import__.stock_production_lot_170707B_8002501
