id,bin_location_id/id,product_id/id,location_id/id
__import__.product_stock_bin_8017081,__import__.location_loc_EXT320,__import__.product_8017081_product_template,stock.stock_location_stock
__import__.product_stock_bin_8050256,__import__.location_loc_GD19C5,__import__.product_8050256_product_template,stock.stock_location_stock
__import__.product_stock_bin_4007024,__import__.location_loc_AA05A4,__import__.product_4007024_product_template,stock.stock_location_stock
__import__.product_stock_bin_7920036,__import__.location_loc_GD08A2,__import__.product_7920036_product_template,stock.stock_location_stock
__import__.product_stock_bin_7920005,__import__.location_loc_GC02D2,__import__.product_7920005_product_template,stock.stock_location_stock
__import__.product_stock_bin_0029132,__import__.location_loc_GI11A1,__import__.product_0029132_product_template,stock.stock_location_stock
__import__.product_stock_bin_0125732,__import__.location_loc_GI11B3,__import__.product_0125732_product_template,stock.stock_location_stock
__import__.product_stock_bin_2451672,__import__.location_loc_GH11B9,__import__.product_2451672_product_template,stock.stock_location_stock
__import__.product_stock_bin_0391383,__import__.location_loc_GF27D4,__import__.product_0391383_product_template,stock.stock_location_stock
__import__.product_stock_bin_1791698,__import__.location_loc_GGU405,__import__.product_1791698_product_template,stock.stock_location_stock
__import__.product_stock_bin_1013390,__import__.location_loc_GBP211,__import__.product_1013390_product_template,stock.stock_location_stock
__import__.product_stock_bin_8002493,__import__.location_loc_GK13B1,__import__.product_8002493_product_template,stock.stock_location_stock
__import__.product_stock_bin_8002487,__import__.location_loc_GK06A1,__import__.product_8002487_product_template,stock.stock_location_stock
__import__.product_stock_bin_8051623,__import__.location_loc_GE21B2,__import__.product_8051623_product_template,stock.stock_location_stock
__import__.product_stock_bin_6716892,__import__.location_loc_GD02E1,__import__.product_6716892_product_template,stock.stock_location_stock
__import__.product_stock_bin_1193515,__import__.location_loc_QE11B6,__import__.product_1193515_product_template,stock.stock_location_stock
__import__.product_stock_bin_2710846,__import__.location_loc_GD02F7,__import__.product_2710846_product_template,stock.stock_location_stock
__import__.product_stock_bin_5192007,__import__.location_loc_GD22E7,__import__.product_5192007_product_template,stock.stock_location_stock
__import__.product_stock_bin_2680551,__import__.location_loc_GBM511,__import__.product_2680551_product_template,stock.stock_location_stock
__import__.product_stock_bin_5620095,__import__.location_loc_GBO103,__import__.product_5620095_product_template,stock.stock_location_stock
__import__.product_stock_bin_3113412,__import__.location_loc_GGB408,__import__.product_3113412_product_template,stock.stock_location_stock
__import__.product_stock_bin_5823446,__import__.location_loc_AF03A3,__import__.product_5823446_product_template,stock.stock_location_stock
__import__.product_stock_bin_5828965,__import__.location_loc_AA03A3,__import__.product_5828965_product_template,stock.stock_location_stock
__import__.product_stock_bin_2314425,__import__.location_loc_GGE404,__import__.product_2314425_product_template,stock.stock_location_stock
__import__.product_stock_bin_2886943,__import__.location_loc_GBD313,__import__.product_2886943_product_template,stock.stock_location_stock
__import__.product_stock_bin_2087088,__import__.location_loc_GI05B4,__import__.product_2087088_product_template,stock.stock_location_stock
__import__.product_stock_bin_0037028,__import__.location_loc_QF05A3,__import__.product_0037028_product_template,stock.stock_location_stock
__import__.product_stock_bin_2251841,__import__.location_loc_QF08D3,__import__.product_2251841_product_template,stock.stock_location_stock
__import__.product_stock_bin_1203074,__import__.location_loc_QF05B4,__import__.product_1203074_product_template,stock.stock_location_stock
__import__.product_stock_bin_2379782,__import__.location_loc_GBF504,__import__.product_2379782_product_template,stock.stock_location_stock
__import__.product_stock_bin_2430205,__import__.location_loc_GF14C3,__import__.product_2430205_product_template,stock.stock_location_stock
__import__.product_stock_bin_4901703,__import__.location_loc_AB07B2,__import__.product_4901703_product_template,stock.stock_location_stock
__import__.product_stock_bin_5471816,__import__.location_loc_GE04B4,__import__.product_5471816_product_template,stock.stock_location_stock
__import__.product_stock_bin_4210130,__import__.location_loc_AB11B2,__import__.product_4210130_product_template,stock.stock_location_stock
__import__.product_stock_bin_5065361,__import__.location_loc_EXV300,__import__.product_5065361_product_template,stock.stock_location_stock
__import__.product_stock_bin_8427086,__import__.location_loc_GGK101,__import__.product_8427086_product_template,stock.stock_location_stock
__import__.product_stock_bin_8043687,__import__.location_loc_GC29A1,__import__.product_8043687_product_template,stock.stock_location_stock
__import__.product_stock_bin_4461838,__import__.location_loc_GH09B6,__import__.product_4461838_product_template,stock.stock_location_stock
__import__.product_stock_bin_1331313,__import__.location_loc_GBP307,__import__.product_1331313_product_template,stock.stock_location_stock
__import__.product_stock_bin_2655116,__import__.location_loc_GBX115,__import__.product_2655116_product_template,stock.stock_location_stock
