id,life_date,checksum,product_id/id,name
__import__.stock_production_lot_B146307_2379782,2020-02-28 00:00:00,539,__import__.product_2379782,B146307
__import__.stock_production_lot_171312_2382729,2020-11-30 00:00:00,299,__import__.product_2382729,171312
__import__.stock_production_lot_5754038_2382729,2020-03-31 00:00:00,688,__import__.product_2382729,5754038
__import__.stock_production_lot_6R57_2410959,2019-09-30 00:00:00,572,__import__.product_2410959,6R57
__import__.stock_production_lot_508BAC_2446532,2019-11-30 00:00:00,791,__import__.product_2446532,508BAC
__import__.stock_production_lot_514BAB_2446532,2020-03-31 00:00:00,440,__import__.product_2446532,514BAB
__import__.stock_production_lot_17L154_2451672,2020-11-30 00:00:00,206,__import__.product_2451672,17L154
__import__.stock_production_lot_803462A_2518835,2020-01-31 00:00:00,816,__import__.product_2518835,803462A
__import__.stock_production_lot_534E7AB_2552271,2019-11-30 00:00:00,829,__import__.product_2552271,534E7AB
__import__.stock_production_lot_762H7AB_2552271,2020-01-31 00:00:00,448,__import__.product_2552271,762H7AB
__import__.stock_production_lot_16C167_2561165,2019-02-28 00:00:00,294,__import__.product_2561165,16C167
__import__.stock_production_lot_27401_2575421,2020-09-30 00:00:00,537,__import__.product_2575421,27401
__import__.stock_production_lot_28023_2575421,2021-04-30 00:00:00,156,__import__.product_2575421,28023
__import__.stock_production_lot_736493G_2604965,2019-03-31 00:00:00,774,__import__.product_2604965,736493G
__import__.stock_production_lot_817590A_2604965,2019-10-31 00:00:00,763,__import__.product_2604965,817590A
__import__.stock_production_lot_819591G_2604965,2019-11-30 00:00:00,613,__import__.product_2604965,819591G
__import__.stock_production_lot_630103_2655116,2020-11-30 00:00:00,904,__import__.product_2655116,630103
__import__.stock_production_lot_KP0CJRV_2656759,2020-10-31 00:00:00,257,__import__.product_2656759,KP0CJRV
__import__.stock_production_lot_7093PHQ_2657393,2019-10-31 00:00:00,456,__import__.product_2657393,7093PHQ
__import__.stock_production_lot_AL876564DC_2680551,2019-11-30 00:00:00,526,__import__.product_2680551,AL876564DC
__import__.stock_production_lot_FAN01301_2690071,2020-01-31 00:00:00,517,__import__.product_2690071,FAN01301
__import__.stock_production_lot_ZAN08201_2690071,2019-09-30 00:00:00,117,__import__.product_2690071,ZAN08201
__import__.stock_production_lot_6W8E_2691723,2020-01-31 00:00:00,165,__import__.product_2691723,6W8E
__import__.stock_production_lot_17A052_2710846,2020-12-31 00:00:00,131,__import__.product_2710846,17A052
__import__.stock_production_lot_6790118_2730984,2021-04-30 00:00:00,287,__import__.product_2730984,6790118
__import__.stock_production_lot_17I04110_2738268,2022-09-30 00:00:00,809,__import__.product_2738268,17I04110
__import__.stock_production_lot_C217262_2746501,2019-11-30 00:00:00,452,__import__.product_2746501,C217262
__import__.stock_production_lot_C218074_2746501,2020-03-31 00:00:00,344,__import__.product_2746501,C218074
__import__.stock_production_lot_0605FG1B_2751410,2019-05-11 00:00:00,250,__import__.product_2751410,0605FG1B
__import__.stock_production_lot_0807FG1C_2751410,2019-07-13 00:00:00,661,__import__.product_2751410,0807FG1C
__import__.stock_production_lot_P102825_2761427,2020-05-31 00:00:00,834,__import__.product_2761427,P102825
__import__.stock_production_lot_102937_2761435,2020-05-31 00:00:00,888,__import__.product_2761435,102937
__import__.stock_production_lot_6LLNA_2769388,2019-10-31 00:00:00,518,__import__.product_2769388,6LLNA
__import__.stock_production_lot_C1218012251_2816395,2020-01-31 00:00:00,731,__import__.product_2816395,C1218012251
__import__.stock_production_lot_C1218020151_2816395,2020-02-28 00:00:00,311,__import__.product_2816395,C1218020151
__import__.stock_production_lot_C0818022651_2816411,2020-02-28 00:00:00,446,__import__.product_2816411,C0818022651
__import__.stock_production_lot_C0717110351_2816429,2020-11-30 00:00:00,645,__import__.product_2816429,C0717110351
__import__.stock_production_lot_C0718020651_2816429,2020-02-28 00:00:00,943,__import__.product_2816429,C0718020651
__import__.stock_production_lot_C0816121901_2816437,2018-12-31 00:00:00,157,__import__.product_2816437,C0816121901
__import__.stock_production_lot_C0818013051_2816437,2020-01-31 00:00:00,516,__import__.product_2816437,C0818013051
__import__.stock_production_lot_C0818071251_2816437,2020-07-31 00:00:00,241,__import__.product_2816437,C0818071251
__import__.stock_production_lot_C0818061551_2816452,2020-06-30 00:00:00,591,__import__.product_2816452,C0818061551
__import__.stock_production_lot_1522776_2829695,2019-03-31 00:00:00,136,__import__.product_2829695,1522776
__import__.stock_production_lot_1522394_2829703,2019-03-31 00:00:00,609,__import__.product_2829703,1522394
__import__.stock_production_lot_2836565_2829737,2021-02-28 00:00:00,750,__import__.product_2829737,2836565
__import__.stock_production_lot_1627903_2829752,2019-05-31 00:00:00,326,__import__.product_2829752,1627903
__import__.stock_production_lot_18081404_2837268,2021-01-31 00:00:00,779,__import__.product_2837268,18081404
__import__.stock_production_lot_T51228_2853240,2022-03-31 00:00:00,415,__import__.product_2853240,T51228
__import__.stock_production_lot_W57719_2853240,2022-12-31 00:00:00,428,__import__.product_2853240,W57719
__import__.stock_production_lot_T85408_2853299,2021-02-28 00:00:00,343,__import__.product_2853299,T85408
__import__.stock_production_lot_17I211_2864239,2020-08-31 00:00:00,695,__import__.product_2864239,17I211
__import__.stock_production_lot_18B082_2864239,2021-01-31 00:00:00,228,__import__.product_2864239,18B082
__import__.stock_production_lot_17K294_2876597,2020-10-31 00:00:00,529,__import__.product_2876597,17K294
__import__.stock_production_lot_17L012_2876597,2020-11-30 00:00:00,400,__import__.product_2876597,17L012
