id,width,length,depth,weight
__import__.product_1036310,0,0,0,0
__import__.product_1040150,0,0,0,0
__import__.product_1040270,0,0,0,0
__import__.product_1041000,0,0,0,0
__import__.product_1042580,0,0,0,0
__import__.product_1050400,0,0,0,0
__import__.product_1050410,0,0,0,0
__import__.product_1055360,0,0,0,0
__import__.product_1058010,0,0,0,0
__import__.product_1060340,0,0,0,0
__import__.product_1060600,0,0,0,0
__import__.product_1062320,0,0,0,0
__import__.product_1063810,0,0,0,0
__import__.product_1067792,4.7,4.7,8.8,0.12
__import__.product_1072594,17.2,22.5,11,1.18
__import__.product_1073360,11.6,24,0,0.36
__import__.product_1077510,4.5,19,3.1,0.05
__import__.product_1086891,9.8,18.5,6.5,0.21
__import__.product_1087949,5.2,5.2,9.9,0.18
__import__.product_1088897,9.2,9.2,22.8,0.93
__import__.product_1097641,3.6,6.2,9.3,0.06
__import__.product_1115179,7.6,10.6,5.5,0.14
__import__.product_1122191,7,7,9.3,0.13
__import__.product_1128958,4.3,9.9,4.8,0.09
__import__.product_1148980,2.8,5.7,12.3,0.46
__import__.product_1154590,6.7,15.6,1.6,0.01
__import__.product_1155748,6.6,15.7,1.6,0.02
__import__.product_1163393,11.2,12.2,2.5,0.04
__import__.product_1180033,21.8,25.3,16.8,3.25
__import__.product_1202654,13.8,18.9,28,5.3
__import__.product_1202803,5.4,5.4,17.3,0.19
__import__.product_1203272,14.9,17.9,14,1.13
__import__.product_1203439,5.8,12.3,3.2,0.17
__import__.product_1204437,3.9,9,4.8,0.07
__import__.product_1205186,0,0,0,0.5
__import__.product_1211358,3.7,6.8,7.9,0.07
__import__.product_1227271,10.3,12.7,4.7,0.1
__import__.product_1239472,0,0,0,12
__import__.product_1255058,6.8,7.3,1.6,0.01
__import__.product_1280320,4.9,4.9,12.3,0.16
__import__.product_1305101,7.5,7.5,8.4,0.23
__import__.product_1317825,5.4,24.7,2.6,0.04
__import__.product_1336528,0,0,0,0
__import__.product_1357243,10.7,16.7,2.1,0.04
__import__.product_1379197,5.6,5.6,10.7,0.21
__import__.product_1399476,6.3,9.4,23.4,0.68
__import__.product_1400522,7,7,13.8,0.47
__import__.product_1402593,0,0,0,0
__import__.product_1403294,10,19.3,31.4,2.69
__import__.product_1406438,5.3,8,4.3,0.04
__import__.product_1409564,2.9,2.9,8.5,0.05
__import__.product_1421825,4.6,4.7,8.4,0.12
__import__.product_1435981,10.7,16.8,2.6,0.05
__import__.product_1448109,13.5,6.3,3.1,0.05
__import__.product_1448117,13.7,16.3,2.5,0.05
__import__.product_1455146,17.9,19.1,18.2,2.32
__import__.product_1478692,5.7,5.6,10.5,0.21
__import__.product_1513613,10.8,12.8,0.8,0.03
__import__.product_1552132,3.1,3.1,6.9,0.03
__import__.product_1554617,5,5,13.3,0.09
__import__.product_1623818,5.5,5.5,10.4,0.21
__import__.product_1655810,5.6,5.6,7.5,0.07
__import__.product_1685361,12.9,23.4,34.4,2.63
__import__.product_1685379,13.8,13.8,26.2,1.15
__import__.product_1688795,23.3,33.8,16,3.01
__import__.product_1693795,3.8,3.8,11.1,0.05
__import__.product_1735960,0,0,0,0
__import__.product_1770510,10.5,16.5,2.5,0.03
__import__.product_1770528,10.5,16.5,2.5,0.05
__import__.product_1770536,10.5,16.5,2.5,0.03
__import__.product_1770569,10.5,16.5,2.5,0.05
__import__.product_1778109,4.8,4.8,8.4,0.08
__import__.product_1778117,7.1,7.1,15.6,0.36
__import__.product_1778125,8.1,8.1,19,0.68
__import__.product_1778141,7.5,14.8,25.6,0.99
__import__.product_1826830,10,10,18,1.2
__import__.product_2049146,8.7,8.7,17.2,0.73
__import__.product_2056852,3.9,22.5,2.8,0.04
__import__.product_2087054,10.9,19.2,2.7,0.04
__import__.product_2087062,10.9,19.3,2.7,0.05
__import__.product_2087070,10.8,19.2,2.6,0.04
__import__.product_2092146,6.5,6.5,17.8,0.63
__import__.product_2101780,6.2,6.8,20.8,0.28
__import__.product_2101798,7,7.9,25.7,0.61
__import__.product_2123842,4.6,4.6,8.2,0.12
__import__.product_2124584,17.9,22.2,8.7,1.64
__import__.product_2124592,5.8,5.5,10.6,0.21
__import__.product_2176105,0,0,0,0
__import__.product_2210144,4,19.4,2.7,0.04
__import__.product_2228070,5.3,5.3,8.8,0.07
__import__.product_2246536,3.8,6.8,6.9,0.07
__import__.product_2247856,9.8,10.6,2.1,0.02
__import__.product_2247872,9.8,10.5,2.1,0.02
__import__.product_2249605,12.9,28.7,8.4,0.55
__import__.product_2252260,6.3,23.3,2.9,0.05
__import__.product_2266104,12.3,15.7,9.7,0.44
__import__.product_2270403,15,18,1.6,0.16
__import__.product_2271088,7.2,7.1,14.7,0.38
__import__.product_2271120,4.7,8.9,4.8,0.09
__import__.product_2271138,5.9,11.9,6,0.2
__import__.product_2301230,0,0,0,0
__import__.product_2319036,5.4,9.9,9.4,0.14
__import__.product_2322733,10.3,12.7,4.6,0.14
__import__.product_2329571,11.3,13.3,6.2,0.16
__import__.product_2329589,4.9,6.9,4.8,0.03
__import__.product_2330470,4.2,6.1,9.2,0.08
__import__.product_2352292,5,5,10.1,0.13
__import__.product_2352805,12,24.5,42.3,5.76
__import__.product_2352813,5.3,11.6,15.1,0.31
