id,width,depth,length,weight,orderpoint_max
__import__.product_8258229,0,0,0,0,1.000
__import__.product_8259039,0,0,0,0,1.000
__import__.product_8259853,26.30,12.10,50.00,10.00,1.000
__import__.product_8269227,0,0,0,0,1.000
__import__.product_8270302,0,0,0,0,1.000
__import__.product_8270584,0,0,0,0,1.000
__import__.product_8272910,0,0,0,0,1.000
__import__.product_8272985,0,0,0,0,1.000
__import__.product_8274530,0,0,0,0,1.000
__import__.product_8276405,0,0,0,0,1.000
__import__.product_8278485,0,0,0,0,2.000
__import__.product_8286208,0,0,0,0,2.000
__import__.product_8290090,0,0,0,0,1.000
__import__.product_8290109,0,0,0,0,1.000
__import__.product_8290658,0,0,0,0,1.000
__import__.product_8293208,0,0,0,0,1.000
__import__.product_8299748,0,0,0,0,1.000
__import__.product_8299783,0,0,0,0,1.000
__import__.product_8299820,0,0,0,0,1.000
__import__.product_8332138,0,0,0,0,1.000
__import__.product_8332233,0,0,0,0,1.000
__import__.product_8332256,0,0,0,0,1.000
__import__.product_8332262,0,0,0,0,1.000
__import__.product_8335289,0,0,0,0,1.000
__import__.product_8338715,0,0,0,0,1.000
__import__.product_8341309,0,0,0,0,1.000
__import__.product_8343722,0,0,0,0,1.000
__import__.product_8346152,0,0,0,0,1.000
__import__.product_8351555,0,0,0,0,1.000
__import__.product_8351561,0,0,0,0,1.000
__import__.product_8355926,0,0,0,0,10.000
__import__.product_8357894,0,0,0,0,1.000
__import__.product_8358020,0,0,0,0,1.000
__import__.product_8363860,0,0,0,0,20.000
__import__.product_8363877,0,0,0,0,5.000
__import__.product_8364227,0,0,0,0,1.000
__import__.product_8365416,0,0,0,0,1.000
__import__.product_8366746,0,0,0,0,1.000
__import__.product_8368805,0,0,0,0,1.000
__import__.product_8368834,0,0,0,0,1.000
__import__.product_8371670,0,0,0,0,2.000
__import__.product_8375739,0,0,0,0,2.000
__import__.product_8375834,0,0,0,0,1.000
__import__.product_8376006,0,0,0,0,1.000
__import__.product_8379938,0,0,0,0,1.000
__import__.product_8379950,0,0,0,0,1.000
__import__.product_8379967,0,0,0,0,1.000
__import__.product_8379973,0,0,0,0,1.000
__import__.product_8380137,0,0,0,0,1.000
__import__.product_8381183,0,0,0,0,1.000
__import__.product_8381409,0,0,0,0,1.000
__import__.product_8383288,0,0,0,0,1.000
__import__.product_8383673,0,0,0,0,1.000
__import__.product_8384767,0,0,0,0,1.000
__import__.product_8385436,0,0,0,0,2.000
__import__.product_8385442,0,0,0,0,2.000
__import__.product_8385459,0,0,0,0,2.000
__import__.product_8385465,0,0,0,0,2.000
__import__.product_8385471,0,0,0,0,2.000
__import__.product_8385488,0,0,0,0,2.000
__import__.product_8385494,0,0,0,0,2.000
__import__.product_8385502,0,0,0,0,2.000
__import__.product_8388831,0,0,0,0,1.000
__import__.product_8389434,0,0,0,0,1.000
__import__.product_8389701,0,0,0,0,1.000
__import__.product_8389718,0,0,0,0,1.000
__import__.product_8389753,0,0,0,0,1.000
__import__.product_8405535,0,0,0,0,1.000
__import__.product_8417188,0,0,0,0,1.000
__import__.product_8426684,0,0,0,0,1.000
__import__.product_8426715,0,0,0,0,1.000
__import__.product_8430214,0,0,0,0,1.000
__import__.product_8430786,0,0,0,0,1.000
__import__.product_8430792,0,0,0,0,1.000
__import__.product_8433460,0,0,0,0,1.000
__import__.product_8455213,0,0,0,0,1.000
__import__.product_8484718,0,0,0,0,1.000
