id,standard_price
__import__.product_0057489,5.54
__import__.product_0057500,1.75
__import__.product_0057562,17.65
__import__.product_0057679,0
__import__.product_0057760,10.43
__import__.product_0057778,4.29
__import__.product_0058000,4.31
__import__.product_0058404,2.35
__import__.product_0058405,1.62
__import__.product_0058420,2.08
__import__.product_0058669,3.27
__import__.product_0058800,3.54
__import__.product_0058834,8.8
__import__.product_0059121,27.99
__import__.product_0059170,6.21
__import__.product_0059238,0.71
__import__.product_0059428,5.73
__import__.product_0059444,16
__import__.product_0059675,13.86
__import__.product_0059832,0.87
__import__.product_0059900,2.09
__import__.product_0059901,2.06
__import__.product_0060012,3.49
__import__.product_0060269,1.68
__import__.product_0061119,2.64
__import__.product_0061358,15.74
__import__.product_0061408,3.35
__import__.product_0061564,13.39
__import__.product_0061697,10.49
__import__.product_0061887,18
__import__.product_0062141,3.55
__import__.product_0062190,6.72
__import__.product_0062208,15.94
__import__.product_0062521,2.29
__import__.product_0062836,0.87
__import__.product_0062935,2.47
__import__.product_0063008,1.78
__import__.product_0063099,2.43
__import__.product_0063644,1.93
__import__.product_0063669,8.21
__import__.product_0063784,8.25
__import__.product_0063792,9.16
__import__.product_0064014,4.8
__import__.product_0064015,8.82
__import__.product_0064154,2.95
__import__.product_0064279,2.08
__import__.product_0064428,3.91
__import__.product_0064550,6.99
__import__.product_0064642,4.2
__import__.product_0064725,5.56
__import__.product_0064824,5.49
__import__.product_0064832,24.77
__import__.product_0065128,5.95
__import__.product_0065656,27.87
__import__.product_0065979,140.03
__import__.product_0066266,7.77
__import__.product_0066290,3.86
__import__.product_0066506,1.98
__import__.product_0066613,2.89
__import__.product_0066852,4.38
__import__.product_0067249,4.58
__import__.product_0067264,2.45
__import__.product_0067306,1.66
__import__.product_0067330,2.28
__import__.product_0067678,2.3
__import__.product_0068197,2.58
__import__.product_0068437,2.6
__import__.product_0068536,24
__import__.product_0068767,1.66
__import__.product_0068775,0
__import__.product_0069062,2.34
__import__.product_0069138,1.34
__import__.product_0069559,6.31
__import__.product_0069682,4.21
__import__.product_0069732,34.51
__import__.product_0070060,1.69
__import__.product_0070177,2.74
__import__.product_0070383,4.98
__import__.product_0071506,7.08
__import__.product_0071514,4.87
__import__.product_0071597,3.53
__import__.product_0071936,2.23
__import__.product_0071985,7.55
__import__.product_0072611,16.29
__import__.product_0072645,2.95
__import__.product_0073000,3.43
__import__.product_0073163,4.34
__import__.product_0073296,18.29
__import__.product_0073452,6.01
__import__.product_0073619,3.93
__import__.product_0074492,2.84
__import__.product_0074914,7.17
__import__.product_0074963,8.5
__import__.product_0075000,1.24
__import__.product_0075143,5.86
__import__.product_0075200,1.66
__import__.product_0075622,1.74
__import__.product_0075630,2.01
__import__.product_0075648,1.93
__import__.product_0075705,5.54
__import__.product_0075750,27.93
__import__.product_0075911,5.26
__import__.product_0075986,2.17
__import__.product_0076901,26.29
__import__.product_0078105,0
__import__.product_0078300,9.79
__import__.product_0078307,0.25
__import__.product_0078360,9.25
__import__.product_0078584,2.04
__import__.product_0079030,4.21
__import__.product_0079035,4.87
__import__.product_0079050,3.45
__import__.product_0079327,8.53
__import__.product_0079350,6
__import__.product_0079442,8.2
__import__.product_0079459,3.93
__import__.product_0079491,3.15
__import__.product_0079848,4.28
__import__.product_0079954,3.26
__import__.product_0080200,2.16
__import__.product_0080283,2.74
__import__.product_0080366,2.21
__import__.product_0080507,5.56
__import__.product_0080700,5.08
__import__.product_0080770,9.4
__import__.product_0080788,20.4
__import__.product_0080895,8.8
__import__.product_0081034,11.17
__import__.product_0081232,34.96
__import__.product_0081240,61.23
__import__.product_0081604,4.8
__import__.product_0081612,5.05
__import__.product_0081620,22.65
