id,width,depth,length,default_code
__import__.product_0050500,6.90,22.90,6.90,0050500
__import__.product_0050559,0,0,0,0050559
__import__.product_0050575,0,0,0,0050575
__import__.product_0050658,0,0,0,0050658
__import__.product_0050732,0,0,0,0050732
__import__.product_0050963,0,0,0,0050963
__import__.product_0051565,0,0,0,0051565
__import__.product_0051714,0,0,0,0051714
__import__.product_0052753,0,0,0,0052753
__import__.product_0052886,4.70,4.60,9.20,0052886
__import__.product_0052977,0,0,0,0052977
__import__.product_0053017,0,0,0,0053017
__import__.product_0053207,3.10,6.80,3.10,0053207
__import__.product_0053389,0,0,0,0053389
__import__.product_0053405,0,0,0,0053405
__import__.product_0053447,0,0,0,0053447
__import__.product_0054429,0,0,0,0054429
__import__.product_0054619,0,0,0,0054619
__import__.product_0054627,0,0,0,0054627
__import__.product_0054742,0,0,0,0054742
__import__.product_0054817,0,0,0,0054817
__import__.product_0055004,0,0,0,0055004
__import__.product_0055327,0,0,0,0055327
__import__.product_0055339,15.70,24.90,19.20,0055339
__import__.product_0055340,0,0,0,0055340
__import__.product_0055376,0,0,0,0055376
__import__.product_0055996,0,0,0,0055996
__import__.product_0056002,0,0,0,0056002
__import__.product_0056028,0,0,0,0056028
__import__.product_0056231,0,0,0,0056231
__import__.product_0056283,0,0,0,0056283
__import__.product_0056341,0,0,0,0056341
__import__.product_0056440,0,0,0,0056440
__import__.product_0056606,0,0,0,0056606
__import__.product_0056622,0,0,0,0056622
__import__.product_0056754,0,0,0,0056754
__import__.product_0056762,0,0,0,0056762
__import__.product_0057117,0,0,0,0057117
__import__.product_0057158,0,0,0,0057158
__import__.product_0057190,0,0,0,0057190
__import__.product_0057208,0,0,0,0057208
__import__.product_0057257,0,0,0,0057257
__import__.product_0057364,0,0,0,0057364
__import__.product_0057448,0,0,0,0057448
__import__.product_0057489,0,0,0,0057489
__import__.product_0057562,0,0,0,0057562
__import__.product_0057760,0,0,0,0057760
__import__.product_0057778,0,0,0,0057778
__import__.product_0058000,0,0,0,0058000
__import__.product_0058404,0,0,0,0058404
__import__.product_0058405,0,0,0,0058405
__import__.product_0058420,0,0,0,0058420
__import__.product_0058669,0,0,0,0058669
__import__.product_0058800,0,0,0,0058800
__import__.product_0058834,0,0,0,0058834
__import__.product_0059121,0,0,0,0059121
__import__.product_0059170,0,0,0,0059170
__import__.product_0059238,0,0,0,0059238
__import__.product_0059428,0,0,0,0059428
__import__.product_0059832,0,0,0,0059832
__import__.product_0059900,0,0,0,0059900
__import__.product_0059901,0,0,0,0059901
__import__.product_0060012,0,0,0,0060012
__import__.product_0060269,0,0,0,0060269
__import__.product_0061119,0,0,0,0061119
__import__.product_0061358,0,0,0,0061358
__import__.product_0061408,0,0,0,0061408
__import__.product_0061564,0,0,0,0061564
__import__.product_0061697,0,0,0,0061697
__import__.product_0062141,0,0,0,0062141
__import__.product_0062190,0,0,0,0062190
__import__.product_0062208,0,0,0,0062208
__import__.product_0062521,0,0,0,0062521
__import__.product_0062836,0,0,0,0062836
__import__.product_0062935,0,0,0,0062935
__import__.product_0063008,0,0,0,0063008
__import__.product_0063099,0,0,0,0063099
__import__.product_0063644,0,0,0,0063644
__import__.product_0063669,0,0,0,0063669
__import__.product_0064154,0,0,0,0064154
__import__.product_0064279,0,0,0,0064279
__import__.product_0064428,8.20,7.90,19.30,0064428
__import__.product_0064550,0,0,0,0064550
__import__.product_0064642,0,0,0,0064642
__import__.product_0064824,0,0,0,0064824
__import__.product_0064832,0,0,0,0064832
__import__.product_0065128,0,0,0,0065128
__import__.product_0065656,0,0,0,0065656
__import__.product_0065979,0,0,0,0065979
__import__.product_0066290,0,0,0,0066290
__import__.product_0066506,0,0,0,0066506
__import__.product_0066613,0,0,0,0066613
__import__.product_0066852,0,0,0,0066852
__import__.product_0067249,0,0,0,0067249
__import__.product_0067264,0,0,0,0067264
__import__.product_0068197,0,0,0,0068197
__import__.product_0068437,0,0,0,0068437
__import__.product_0068767,0,0,0,0068767
__import__.product_0069062,0,0,0,0069062
__import__.product_0069138,0,0,0,0069138
__import__.product_0069559,0,0,0,0069559
__import__.product_0069682,0,0,0,0069682
__import__.product_0069732,0,0,0,0069732
__import__.product_0070060,0,0,0,0070060
__import__.product_0070177,0,0,0,0070177
__import__.product_0070383,0,0,0,0070383
__import__.product_0071597,0,0,0,0071597
__import__.product_0071936,0,0,0,0071936
__import__.product_0071985,7.20,2.00,9.70,0071985
__import__.product_0072611,0,0,0,0072611
__import__.product_0072645,0,0,0,0072645
__import__.product_0073000,0,0,0,0073000
__import__.product_0073163,0,0,0,0073163
__import__.product_0073452,0,0,0,0073452
__import__.product_0073619,0,0,0,0073619
__import__.product_0074914,0,0,0,0074914
__import__.product_0074963,0,0,0,0074963
__import__.product_0075000,0,0,0,0075000
__import__.product_0075143,0,0,0,0075143
__import__.product_0075200,0,0,0,0075200
__import__.product_0075622,0,0,0,0075622
__import__.product_0075630,0,0,0,0075630
__import__.product_0075648,0,0,0,0075648
__import__.product_0075705,0,0,0,0075705
__import__.product_0075750,0,0,0,0075750
__import__.product_0075986,0,0,0,0075986
__import__.product_0078105,0,0,0,0078105
__import__.product_0078300,0,0,0,0078300
__import__.product_0078307,0,0,0,0078307
__import__.product_0078360,0,0,0,0078360
__import__.product_0078584,0,0,0,0078584
__import__.product_0079030,0,0,0,0079030
__import__.product_0079035,0,0,0,0079035
__import__.product_0079350,0,0,0,0079350
__import__.product_0079442,0,0,0,0079442
__import__.product_0079848,0,0,0,0079848
__import__.product_0079954,0,0,0,0079954
__import__.product_0080200,0,0,0,0080200
__import__.product_0080283,0,0,0,0080283
__import__.product_0080366,0,0,0,0080366
__import__.product_0080507,0,0,0,0080507
__import__.product_0080700,0,0,0,0080700
__import__.product_0080895,0,0,0,0080895
__import__.product_0081034,0,0,0,0081034
__import__.product_0081232,0,0,0,0081232
__import__.product_0081240,0,0,0,0081240
__import__.product_0081604,0,0,0,0081604
__import__.product_0081612,0,0,0,0081612
__import__.product_0081653,0,0,0,0081653
__import__.product_0082768,0,0,0,0082768
__import__.product_0082966,0,0,0,0082966
__import__.product_0082982,0,0,0,0082982
__import__.product_0083105,0,0,0,0083105
__import__.product_0083451,0,0,0,0083451
__import__.product_0083725,0,0,0,0083725
__import__.product_0083824,9.10,2.50,13.80,0083824
__import__.product_0084715,0,0,0,0084715
__import__.product_0084798,0,0,0,0084798
__import__.product_0085050,0,0,0,0085050
__import__.product_0085308,0,0,0,0085308
__import__.product_0085340,0,0,0,0085340
__import__.product_0085415,0,0,0,0085415
__import__.product_0085662,0,0,0,0085662
__import__.product_0086058,4.10,1.70,9.90,0086058
__import__.product_0086280,0,0,0,0086280
__import__.product_0086595,0,0,0,0086595
__import__.product_0086629,0,0,0,0086629
__import__.product_0086769,0,0,0,0086769
__import__.product_0088286,0,0,0,0088286
__import__.product_0088625,0,0,0,0088625
__import__.product_0088633,0,0,0,0088633
__import__.product_0088740,0,0,0,0088740
__import__.product_0088773,0,0,0,0088773
__import__.product_0089060,0,0,0,0089060
__import__.product_0089500,0,0,0,0089500
__import__.product_0089748,0,0,0,0089748
__import__.product_0089821,0,0,0,0089821
__import__.product_0089839,5.10,1.90,11.20,0089839
__import__.product_0089847,0,0,0,0089847
__import__.product_0089946,5.30,3.10,25.20,0089946
__import__.product_0090225,0,0,0,0090225
__import__.product_0090233,0,0,0,0090233
__import__.product_0090308,0,0,0,0090308
__import__.product_0090605,0,0,0,0090605
__import__.product_0090878,0,0,0,0090878
__import__.product_0090936,0,0,0,0090936
__import__.product_0091090,0,0,0,0091090
__import__.product_0091488,0,0,0,0091488
__import__.product_0091736,0,0,0,0091736
__import__.product_0092528,0,0,0,0092528
__import__.product_0092569,0,0,0,0092569
__import__.product_0093013,0,0,0,0093013
__import__.product_0093120,0,0,0,0093120
__import__.product_0093203,0,0,0,0093203
__import__.product_0093492,0,0,0,0093492
__import__.product_0093807,0,0,0,0093807
__import__.product_0093963,0,0,0,0093963
__import__.product_0094045,0,0,0,0094045
__import__.product_0094086,0,0,0,0094086
__import__.product_0094144,0,0,0,0094144
__import__.product_0094169,0,0,0,0094169
__import__.product_0094359,0,0,0,0094359
__import__.product_0094672,0,0,0,0094672
__import__.product_0094987,0,0,0,0094987
__import__.product_0095687,0,0,0,0095687
__import__.product_0095851,0,0,0,0095851
__import__.product_0096271,0,0,0,0096271
__import__.product_0097287,0,0,0,0097287
__import__.product_0097857,0,0,0,0097857
__import__.product_0097899,0,0,0,0097899
__import__.product_0097915,0,0,0,0097915
__import__.product_0098178,0,0,0,0098178
__import__.product_0098194,0,0,0,0098194
__import__.product_0098574,0,0,0,0098574
__import__.product_0098624,0,0,0,0098624
__import__.product_0098640,0,0,0,0098640
__import__.product_0098657,0,0,0,0098657
__import__.product_0099267,0,0,0,0099267
__import__.product_0099457,0,0,0,0099457
__import__.product_0099549,0,0,0,0099549
__import__.product_0099820,0,0,0,0099820
__import__.product_0099846,0,0,0,0099846
__import__.product_0099853,0,0,0,0099853
__import__.product_0099903,0,0,0,0099903
__import__.product_0100115,0,0,0,0100115
__import__.product_0100123,0,0,0,0100123
__import__.product_0100529,0,0,0,0100529
__import__.product_0100685,0,0,0,0100685
__import__.product_0100727,0,0,0,0100727
__import__.product_0100974,0,0,0,0100974
__import__.product_0101010,0,0,0,0101010
__import__.product_0101782,0,0,0,0101782
__import__.product_0102012,0,0,0,0102012
__import__.product_0102178,0,0,0,0102178
__import__.product_0102376,0,0,0,0102376
__import__.product_0102384,0,0,0,0102384
__import__.product_0102392,0,0,0,0102392
__import__.product_0102400,0,0,0,0102400
__import__.product_0102426,0,0,0,0102426
__import__.product_0102566,0,0,0,0102566
__import__.product_0102640,0,0,0,0102640
__import__.product_0102780,0,0,0,0102780
__import__.product_0102814,0,0,0,0102814
__import__.product_0103000,0,0,0,0103000
__import__.product_0103176,0,0,0,0103176
__import__.product_0103184,0,0,0,0103184
__import__.product_0103424,0,0,0,0103424
__import__.product_0103614,0,0,0,0103614
__import__.product_0103929,0,0,0,0103929
__import__.product_0104042,0,0,0,0104042
__import__.product_0104109,0,0,0,0104109
__import__.product_0104745,0,0,0,0104745
__import__.product_0104760,0,0,0,0104760
__import__.product_0104992,0,0,0,0104992
__import__.product_0105056,0,0,0,0105056
__import__.product_0105072,0,0,0,0105072
__import__.product_0105361,0,0,0,0105361
__import__.product_0105429,0,0,0,0105429
__import__.product_0105635,0,0,0,0105635
__import__.product_0105676,0,0,0,0105676
__import__.product_0105692,0,0,0,0105692
__import__.product_0105700,0,0,0,0105700
__import__.product_0105900,0,0,0,0105900
__import__.product_0105924,0,0,0,0105924
__import__.product_0105981,0,0,0,0105981
__import__.product_0106203,0,0,0,0106203
__import__.product_0106435,0,0,0,0106435
__import__.product_0106831,0,0,0,0106831
__import__.product_0106971,0,0,0,0106971
__import__.product_0107136,0,0,0,0107136
__import__.product_0107235,0,0,0,0107235
__import__.product_0107276,0,0,0,0107276
__import__.product_0107359,0,0,0,0107359
__import__.product_0107706,0,0,0,0107706
__import__.product_0107961,0,0,0,0107961
__import__.product_0107984,0,0,0,0107984
__import__.product_0108175,5.20,17.70,10.00,0108175
__import__.product_0108282,0,0,0,0108282
__import__.product_0108670,0,0,0,0108670
__import__.product_0108712,0,0,0,0108712
__import__.product_0108720,6.00,22.80,12.50,0108720
__import__.product_0108894,0,0,0,0108894
__import__.product_0109199,0,0,0,0109199
__import__.product_0109330,0,0,0,0109330
__import__.product_0109504,0,0,0,0109504
__import__.product_0109595,0,0,0,0109595
__import__.product_0109900,0,0,0,0109900
__import__.product_0109912,0,0,0,0109912
__import__.product_0109922,0,0,0,0109922
__import__.product_0109930,0,0,0,0109930
__import__.product_0110000,0,0,0,0110000
__import__.product_0110001,0,0,0,0110001
__import__.product_0110395,0,0,0,0110395
__import__.product_0110759,0,0,0,0110759
__import__.product_0110882,0,0,0,0110882
__import__.product_0111401,0,0,0,0111401
__import__.product_0111427,0,0,0,0111427
__import__.product_0111575,0,0,0,0111575
__import__.product_0111666,8.30,24.20,8.30,0111666
__import__.product_0111708,0,0,0,0111708
__import__.product_0111799,0,0,0,0111799
__import__.product_0112664,0,0,0,0112664
__import__.product_0112904,0,0,0,0112904
__import__.product_0113134,0,0,0,0113134
__import__.product_0113399,0,0,0,0113399
__import__.product_0113597,0,0,0,0113597
__import__.product_0113639,0,0,0,0113639
__import__.product_0113894,0,0,0,0113894
