id,width,depth,length,orderpoint_max
__import__.product_5791730,0,0,0,1.000
__import__.product_5801150,0,0,0,1.000
__import__.product_5837012,0,0,0,1.000
__import__.product_5904042,0,0,0,1.000
__import__.product_5904043,0,0,0,1.000
__import__.product_5904044,0,0,0,1.000
__import__.product_5910004,5.90,6.40,14.00,1.000
__import__.product_5910022,5.90,6.40,14.00,1.000
__import__.product_5910023,6.00,6.30,14.10,1.000
__import__.product_5910025,6.00,6.50,14.00,1.000
__import__.product_5910026,6.00,6.40,14.00,1.000
__import__.product_5920080,0,0,0,1.000
__import__.product_5920301,0,0,0,2.000
__import__.product_5920401,0,0,0,1.000
__import__.product_5920511,0,0,0,1.000
__import__.product_5920610,0,0,0,1.000
__import__.product_5920706,0,0,0,1.000
__import__.product_5920810,0,0,0,1.000
__import__.product_5920812,0,0,0,1.000
__import__.product_5925055,0,0,0,1.000
__import__.product_5942176,11.00,6.00,22.00,1.000
__import__.product_5942179,12.20,7.50,24.00,1.000
__import__.product_5942545,15.50,14.00,29.30,1.000
__import__.product_5943100,0,0,0,1.000
__import__.product_6112326,7.40,7.20,11.80,5.000
__import__.product_6197020,10.00,11.60,10.40,1.000
__import__.product_6260016,8.80,24.40,8.80,1.000
__import__.product_6350538,10.60,3.90,27.50,6.000
__import__.product_6600827,14.00,9.50,19.00,1.000
__import__.product_6600839,202.10,14.40,20.50,1.000
__import__.product_6852572,20.00,14.00,20.00,1.000
__import__.product_6900756,3.90,9.30,3.90,1.000
__import__.product_6980979,13.50,11.50,16.00,1.000
__import__.product_7149518,0,0,0,10.000
__import__.product_7420114,13.20,10.60,6.30,1.000
__import__.product_7445033,6.50,2.00,70.00,1.000
__import__.product_7505850,15.50,10.40,15.60,1.000
__import__.product_7745014,4.90,10.00,4.90,1.000
__import__.product_7758516,0,0,0,1.000
__import__.product_7764041,14.50,15.30,8.20,1.000
__import__.product_7764462,5.00,16.60,5.00,1.000
__import__.product_7920055,3.00,17.20,12.10,2.000
__import__.product_8006048,6.00,11.00,6.00,1.000
__import__.product_8008202,22.00,16.80,22.00,5.000
__import__.product_8019890,0,0,0,2.000
__import__.product_8020011,0,0,0,1.000
__import__.product_8024230,18.80,4.00,22.50,1.000
__import__.product_8027748,6.10,3.00,10.00,1.000
__import__.product_8027754,6.40,3.10,9.80,1.000
__import__.product_8027760,6.20,3.20,9.80,1.000
__import__.product_8028733,0,0,0,1.000
__import__.product_8031543,6.80,0.50,52.40,1.000
__import__.product_8039711,33.60,1.90,39.90,1.000
__import__.product_8039728,31.60,1.90,40.70,1.000
__import__.product_8039898,1.20,33.50,23.00,1.000
__import__.product_8039906,17.00,2.50,24.00,1.000
__import__.product_8046415,3.00,2.70,54.00,8.000
__import__.product_8048199,0,0,0,2.000
__import__.product_8048905,51.30,0.10,99.20,1.000
__import__.product_8059122,10.00,1.60,14.00,1.000
__import__.product_8060473,8.70,2.00,16.00,2.000
__import__.product_8062609,3.00,6.00,9.00,1.000
__import__.product_8074558,26.50,26.30,31.50,2.000
__import__.product_8077166,0,0,0,1.000
__import__.product_8090787,3.50,18.00,16.00,1.000
__import__.product_8127183,0,0,0,12.000
__import__.product_8168584,0,0,0,36.000
__import__.product_8173552,0,0,0,1.000
__import__.product_8173554,0,0,0,1.000
__import__.product_8182963,0,0,0,6.000
__import__.product_8196994,0,0,0,1.000
__import__.product_8199372,0,0,0,1.000
__import__.product_8240320,0,0,0,1.000
__import__.product_8241840,0.90,8.20,9.10,1.000
__import__.product_8242225,0.90,8.20,9.00,1.000
__import__.product_8244664,0,0,0,1.000
__import__.product_8244670,0,0,0,1.000
__import__.product_8244687,0,0,0,1.000
__import__.product_8258181,0,0,0,1.000
__import__.product_8259513,0,0,0,1.000
__import__.product_8259810,28.00,25.90,28.00,1.000
__import__.product_8259811,11.70,12.70,11.70,1.000
__import__.product_8259840,5.30,16.70,5.30,1.000
__import__.product_8260081,0,0,0,1.000
__import__.product_8264282,0,0,0,1.000
__import__.product_8268995,0,0,0,2.000
__import__.product_8270134,0,0,0,1.000
__import__.product_8270383,0,0,0,1.000
__import__.product_8270522,22.90,19.40,24.50,1.000
__import__.product_8272962,0,0,0,1.000
__import__.product_8273039,0,0,0,4.000
__import__.product_8279651,0,0,0,1.000
__import__.product_8280772,0,0,0,1.000
__import__.product_8280789,0,0,0,1.000
__import__.product_8281286,0,0,0,1.000
__import__.product_8283049,0,0,0,1.000
__import__.product_8285841,0,0,0,1.000
__import__.product_8287395,0,0,0,1.000
__import__.product_8288124,0,0,0,1.000
__import__.product_8289081,0,0,0,1.000
__import__.product_8332227,32.90,3.60,33.30,1.000
__import__.product_8343685,0,0,0,1.000
__import__.product_8345721,0,0,0,36.000
__import__.product_8352359,0,0,0,1.000
__import__.product_8354401,0,0,0,1.000
__import__.product_8354430,0,0,0,1.000
__import__.product_8359404,4.00,2.50,13.20,1.000
__import__.product_8363446,6.10,6.10,21.70,2.000
__import__.product_8363736,14.00,22.50,20.50,1.000
__import__.product_8383644,14.00,5.00,22.50,1.000
__import__.product_8383650,14.50,7.00,21.00,1.000
__import__.product_8387895,1.20,20.00,32.00,1.000
__import__.product_8426069,40.50,31.00,61.00,1.000
