id,length,width,depth,list_price,indicated_price
__import__.product_5611556,0,0,0,16.00,32.00
__import__.product_5611557,0,0,0,29.00,58.00
__import__.product_5632113,0,0,0,5.00,9999999999.99
__import__.product_5645002,0,0,0,250.00,9999999999.00
__import__.product_5764239,0,0,0,36.40,56.00
__import__.product_5805114,0,0,0,133.40,9999999999.99
__import__.product_5826068,22.70,20.60,11.90,16.20,28.00
__import__.product_5840344,0,0,0,200.00,307.40
__import__.product_5900501,0,0,0,2600.00,2600.00
__import__.product_5900630,0,0,0,16200.00,16200.00
__import__.product_5930613,0,0,0,2600.00,2600.00
__import__.product_6040005,0,0,0,26.90,47.20
__import__.product_6045082,0,0,0,20.60,35.60
__import__.product_6045088,0,0,0,185.70,321.00
__import__.product_6045089,0,0,0,41.60,71.90
__import__.product_6045385,0,0,0,32.80,56.70
__import__.product_6197002,0,0,0,35.00,53.80
__import__.product_6197004,13.30,18.20,28.30,21.00,34.10
__import__.product_6197025,0,0,0,4.40,7.20
__import__.product_6260029,40.20,12.80,11.50,14.60,25.60
__import__.product_6267602,0,0,0,18.80,32.50
__import__.product_6267604,0,0,0,18.80,32.50
__import__.product_6267607,0,0,0,18.80,32.50
__import__.product_6267611,0,0,0,18.80,32.50
__import__.product_6267630,0,0,0,10.70,18.50
__import__.product_6267639,0,0,0,10.70,18.50
__import__.product_6267642,0,0,0,10.70,18.50
__import__.product_6267645,0,0,0,10.70,18.50
__import__.product_6267648,0,0,0,10.70,18.50
__import__.product_6277029,9.40,9.40,23.20,2.60,4.00
__import__.product_6401010,4.40,4.40,10.00,0.40,0.70
__import__.product_6401025,0,0,0,44.00,77.20
__import__.product_6623238,0,0,0,3.60,4.40
__import__.product_6655007,0,0,0,118.00,143.00
__import__.product_6680242,0,0,0,14.30,25.10
__import__.product_6695351,0,0,0,11.40,20.00
__import__.product_6789514,0,0,0,8.00,12.30
__import__.product_6805696,0,0,0,6.50,10.00
__import__.product_6824191,0,0,0,18.40,31.80
__import__.product_6840001,18.10,13.70,28.00,130.00,205.00
__import__.product_6869176,0,0,0,13.40,20.60
__import__.product_6888469,9.00,9.00,24.00,90.30,138.80
__import__.product_6962823,6.20,17.00,18.20,30.90,47.50
__import__.product_6964199,0,0,0,6.50,10.00
__import__.product_6969707,0,0,0,6.50,10.00
__import__.product_7142504,0,0,0,105.10,184.40
__import__.product_7196928,22.70,20.60,11.90,16.20,28.00
__import__.product_7197000,22.70,20.60,11.90,16.20,28.00
__import__.product_7197135,22.70,20.60,11.90,16.20,28.00
__import__.product_7356728,0,0,0,5.70,11.00
__import__.product_7402102,0,0,0,2000.00,1.00
__import__.product_7413018,0,0,0,4.10,7.20
__import__.product_7415301,0,0,0,1000.00,1754.50
__import__.product_7416689,22.70,20.60,11.90,16.20,28.00
__import__.product_7421941,0,0,0,21.70,37.50
__import__.product_7429046,0,0,0,5.30,9.30
__import__.product_7443500,0,0,0,27.00,49.00
__import__.product_7758501,0,0,0,55.00,1.00
__import__.product_7760326,0,0,0,24.00,32.60
__import__.product_7764003,0,0,0,42.20,57.50
__import__.product_7764043,13.30,13.30,13.10,29.90,46.00
__import__.product_7764055,0,0,0,84.50,130.00
__import__.product_7764064,18.90,17.00,15.60,74.10,114.00
__import__.product_7764289,0,0,0,49.40,76.00
__import__.product_7865001,0,0,0,26.00,40.90
__import__.product_7865003,0,0,0,7.20,13.00
__import__.product_7865004,0,0,0,13.60,23.50
__import__.product_7865005,12.00,12.00,22.40,8.60,16.00
__import__.product_7865006,0,0,0,3.10,5.60
__import__.product_7865011,0,0,0,5.70,10.00
__import__.product_7915017,0,0,0,62.20,95.60
__import__.product_7929360,0,0,0,271.50,300.00
__import__.product_7969002,13.50,9.00,0.80,4.50,6.00
__import__.product_8039823,0,0,0,66.40,116.50
__import__.product_8043859,99.30,54.50,0.10,10.20,17.90
__import__.product_8058482,0,0,0,4.50,7.90
__import__.product_8078243,0,0,0,250.00,9999999999.99
__import__.product_8096040,0,0,0,5.50,9999999999.90
