id,belgium_only
__import__.product_5340034,1
__import__.product_5350080,1
__import__.product_5350070,1
__import__.product_5340100,1
__import__.product_5340040,1
__import__.product_5340000,1
__import__.product_5340050,1
__import__.product_5340054,1
__import__.product_6754757,1
__import__.product_5192030,1
__import__.product_6719643,1
__import__.product_8120347,1
__import__.product_6731905,1
__import__.product_6713296,1
__import__.product_8102533,1
__import__.product_6979255,1
__import__.product_6710984,1
__import__.product_6758554,1
__import__.product_9512017,1
__import__.product_6732514,1
__import__.product_6758614,1
__import__.product_6944707,1
__import__.product_6994042,1
__import__.product_6994036,1
__import__.product_6819273,1
__import__.product_6874065,1
__import__.product_6821146,1
__import__.product_6773358,1
__import__.product_6910430,1
__import__.product_6910424,1
__import__.product_6910482,1
__import__.product_6741068,1
__import__.product_6710180,1
__import__.product_6754792,1
__import__.product_6778752,1
__import__.product_8102504,1
__import__.product_8118824,1
__import__.product_8467944,1
__import__.product_6793757,1
__import__.product_8121654,1
__import__.product_5017739,1
__import__.product_6770383,1
__import__.product_6994622,1
__import__.product_6756644,1
__import__.product_6916409,1
__import__.product_5512032,1
__import__.product_5512050,1
__import__.product_5512051,1
__import__.product_5512052,1
__import__.product_7480256,1
__import__.product_8105052,1
__import__.product_8079604,1
__import__.product_5013012,1
__import__.product_5012512,1
__import__.product_5071012,1
__import__.product_5010512,1
__import__.product_6835906,1
__import__.product_6873887,1
__import__.product_6742352,1
__import__.product_6979249,1
__import__.product_5512028,1
__import__.product_3047297,1
__import__.product_6889658,1
__import__.product_6979172,1
__import__.product_6710174,1
__import__.product_6910559,1
__import__.product_6700632,1
__import__.product_6704653,1
__import__.product_6704506,1
__import__.product_6712931,1
__import__.product_6735671,1
__import__.product_6735702,1
__import__.product_6777008,1
__import__.product_6789520,1
__import__.product_6794225,1
__import__.product_6794231,1
__import__.product_6799895,1
__import__.product_6838520,1
__import__.product_6849392,1
__import__.product_6871641,1
__import__.product_6892407,1
__import__.product_6892399,1
__import__.product_6900058,1
__import__.product_6901715,1
__import__.product_6903944,1
__import__.product_6910565,1
__import__.product_6945836,1
__import__.product_6966399,1
__import__.product_6973399,1
__import__.product_6977977,1
__import__.product_6976363,1
__import__.product_6991233,1
__import__.product_6991262,1
__import__.product_6991256,1
__import__.product_6995969,1
__import__.product_6994852,1
__import__.product_6994467,1
__import__.product_7436663,1
__import__.product_8080062,1
__import__.product_8093900,1
__import__.product_8096442,1
__import__.product_8097364,1
__import__.product_8098760,1
__import__.product_8098056,1
__import__.product_8099067,1
__import__.product_8099050,1
__import__.product_8102622,1
__import__.product_8105201,1
__import__.product_8105595,1
__import__.product_8108240,1
__import__.product_8108381,1
__import__.product_8111319,1
__import__.product_8457495,1
__import__.product_8468180,1
__import__.product_8468168,1
__import__.product_8477730,1
__import__.product_8477799,1
__import__.product_8478540,1
__import__.product_8479433,1
__import__.product_8479775,1
__import__.product_8479611,1
__import__.product_8496124,1
__import__.product_8496118,1
__import__.product_8497632,1
__import__.product_9512006,1
__import__.product_1805050,1
__import__.product_5300011,1
__import__.product_4789579,1
__import__.product_5013615,1
__import__.product_5014112,1
__import__.product_5014512,1
__import__.product_5014612,1
__import__.product_5015212,1
__import__.product_5015112,1
__import__.product_5265700,1
__import__.product_6766447,1
__import__.product_6765560,1
__import__.product_6767984,1
__import__.product_6767576,1
__import__.product_6768601,1
__import__.product_6768050,1
__import__.product_6768587,1
__import__.product_6770638,1
__import__.product_6771052,1
__import__.product_6771224,1
__import__.product_6772152,1
__import__.product_6773080,1
__import__.product_6773482,1
__import__.product_6775914,1
__import__.product_6828622,1
__import__.product_6835740,1
__import__.product_6835869,1
__import__.product_6835757,1
__import__.product_6836389,1
__import__.product_6836395,1
__import__.product_6837704,1
__import__.product_6836834,1
__import__.product_6837710,1
__import__.product_6837584,1
__import__.product_6837868,1
__import__.product_6847789,1
__import__.product_6846927,1
__import__.product_6847499,1
__import__.product_6848435,1
__import__.product_6848010,1
__import__.product_6849297,1
__import__.product_6849328,1
__import__.product_6849311,1
__import__.product_6849529,1
__import__.product_6850745,1
__import__.product_6853614,1
__import__.product_6852520,1
__import__.product_6857871,1
__import__.product_6866628,1
__import__.product_6867993,1
__import__.product_6868053,1
__import__.product_6868739,1
__import__.product_6869058,1
__import__.product_6869816,1
__import__.product_6871262,1
__import__.product_6871049,1
__import__.product_6872190,1
__import__.product_6871026,1
__import__.product_6872215,1
__import__.product_6871279,1
__import__.product_6874013,1
__import__.product_6872333,1
__import__.product_6875277,1
__import__.product_6875969,1
__import__.product_6874036,1
__import__.product_6876319,1
__import__.product_6874579,1
__import__.product_6877945,1
__import__.product_6878287,1
__import__.product_6876348,1
__import__.product_6878241,1
__import__.product_6878583,1
__import__.product_6888877,1
__import__.product_6888423,1
__import__.product_6890147,1
__import__.product_6885821,1
__import__.product_6896960,1
__import__.product_6897557,1
__import__.product_6907853,1
__import__.product_6905222,1
__import__.product_6907586,1
__import__.product_6911636,1
__import__.product_6914250,1
__import__.product_6921304,1
__import__.product_6933715,1
__import__.product_6941117,1
__import__.product_6941086,1
__import__.product_6941264,1
__import__.product_6943435,1
__import__.product_6941123,1
__import__.product_6943553,1
__import__.product_6944498,1
__import__.product_6944624,1
__import__.product_6946155,1
__import__.product_6944618,1
__import__.product_6945440,1
__import__.product_6957897,1
__import__.product_6958891,1
__import__.product_6950375,1
__import__.product_6964472,1
__import__.product_6965419,1
__import__.product_6964495,1
__import__.product_6966726,1
__import__.product_6969340,1
__import__.product_6971940,1
__import__.product_6979634,1
__import__.product_6987303,1
__import__.product_6988573,1
__import__.product_6989733,1
__import__.product_5512053,1
__import__.product_5607735,1
__import__.product_5726767,1
__import__.product_5760200,1
__import__.product_5910100,1
__import__.product_6001331,1
__import__.product_6001354,1
__import__.product_6207825,1
__import__.product_6363991,1
__import__.product_6620991,1
__import__.product_6662989,1
__import__.product_6701531,1
__import__.product_6701548,1
__import__.product_6701554,1
__import__.product_6701790,1
__import__.product_6704682,1
__import__.product_6705606,1
__import__.product_6706037,1
__import__.product_6707657,1
__import__.product_6712368,1
__import__.product_6713215,1
__import__.product_6715266,1
__import__.product_6723538,1
__import__.product_6725738,1
__import__.product_6727447,1
__import__.product_6729127,1
__import__.product_6729185,1
__import__.product_6730314,1
__import__.product_6733175,1
__import__.product_6738698,1
__import__.product_6740608,1
__import__.product_6739189,1
__import__.product_6742168,1
__import__.product_6743179,1
__import__.product_6742369,1
__import__.product_6756928,1
__import__.product_6755751,1
__import__.product_6759602,1
__import__.product_6760717,1
__import__.product_6764690,1
__import__.product_6768914,1
__import__.product_6767547,1
__import__.product_6777899,1
__import__.product_6777882,1
__import__.product_6780298,1
__import__.product_6785723,1
__import__.product_6789514,1
__import__.product_6782311,1
__import__.product_6786220,1
__import__.product_6792663,1
__import__.product_6798507,1
__import__.product_6806804,1
__import__.product_6805029,1
__import__.product_6808097,1
__import__.product_6808105,1
__import__.product_6812704,1
__import__.product_6813075,1
__import__.product_6815157,1
__import__.product_6817311,1
__import__.product_6823866,1
__import__.product_6958508,1
__import__.product_6969392,1
__import__.product_6971905,1
__import__.product_6993479,1
__import__.product_8096459,1
__import__.product_2140604,1
__import__.product_4545788,1
__import__.product_4592115,1
__import__.product_5427501,1
__import__.product_5512008,1
__import__.product_5512007,1
__import__.product_5512026,1
__import__.product_2520212,1
__import__.product_2626877,1
