id,price,product_code
__import__.supplierinfo_79192-8185134,13.93,02485
__import__.supplierinfo_79192-8185140,13.93,02486
__import__.supplierinfo_79192-8185157,13.93,02487
__import__.supplierinfo_79192-8185163,13.93,02488
__import__.supplierinfo_79192-8185186,13.93,02489
__import__.supplierinfo_79192-8185192,13.93,02490
__import__.supplierinfo_79192-8185200,13.93,02491
__import__.supplierinfo_79192-8185217,13.93,02492
__import__.supplierinfo_79192-8185223,13.93,02493
__import__.supplierinfo_79192-8185246,13.93,02494
__import__.supplierinfo_79192-8185252,13.93,02495
__import__.supplierinfo_79192-8185269,13.93,02496
__import__.supplierinfo_79192-8185275,13.93,02497
__import__.supplierinfo_79192-8185281,13.93,02498
__import__.supplierinfo_79192-8185298,13.93,02499
__import__.supplierinfo_79192-8187475,19.80,01017
__import__.supplierinfo_79192-8197309,20.20,01003BA
__import__.supplierinfo_79192-8199892,28.00,01618
__import__.supplierinfo_79192-8199968,9.65,01093
__import__.supplierinfo_79192-8200075,33.55,03739
__import__.supplierinfo_79192-8200081,33.55,03740
__import__.supplierinfo_79192-8200098,39.50,03741
__import__.supplierinfo_79192-8200106,40.00,03787
__import__.supplierinfo_79192-8200112,28.80,03736
__import__.supplierinfo_79192-8200135,38.35,03738
__import__.supplierinfo_79192-8200141,39.35,03788
__import__.supplierinfo_79192-8200164,98.00,07001
__import__.supplierinfo_79192-8200193,14.00,07004
__import__.supplierinfo_79192-8200201,49.00,07005
__import__.supplierinfo_79192-8200218,42.00,07006
__import__.supplierinfo_79192-8200230,15.90,07008
__import__.supplierinfo_79192-8200247,56.00,07009
__import__.supplierinfo_79192-8200589,13.93,07039
__import__.supplierinfo_79192-8200595,13.93,07040
__import__.supplierinfo_79192-8200603,13.93,07041
__import__.supplierinfo_79192-8200626,13.93,07042
__import__.supplierinfo_79192-8200632,13.93,07043
__import__.supplierinfo_79192-8200649,13.93,07044
__import__.supplierinfo_79192-8200655,13.93,07045
__import__.supplierinfo_79192-8200661,13.93,07046
__import__.supplierinfo_79192-8200678,13.93,07047
__import__.supplierinfo_79192-8200684,13.93,07048
__import__.supplierinfo_79192-8200690,13.93,07049
__import__.supplierinfo_79192-8200709,13.93,07050
__import__.supplierinfo_79192-8200738,13.93,07053
__import__.supplierinfo_79192-8200744,13.93,07054
__import__.supplierinfo_79192-8200750,13.93,07055
__import__.supplierinfo_79192-8200767,13.93,07056
__import__.supplierinfo_79192-8200773,98.00,07058
__import__.supplierinfo_79192-8200796,98.00,07158
__import__.supplierinfo_79192-8200810,45.00,07258
__import__.supplierinfo_79192-8200827,45.00,07358
__import__.supplierinfo_79192-8200856,14.00,07061
__import__.supplierinfo_79192-8200862,49.00,07062
__import__.supplierinfo_79192-8200885,56.00,07066
__import__.supplierinfo_79192-8201318,13.93,07077
__import__.supplierinfo_79192-8201324,13.93,07078
__import__.supplierinfo_79192-8201330,13.93,07079
__import__.supplierinfo_79192-8201347,13.93,07080
__import__.supplierinfo_79192-8201353,13.93,07081
__import__.supplierinfo_79192-8201376,13.93,07082
__import__.supplierinfo_79192-8201382,13.93,07083
__import__.supplierinfo_79192-8201399,13.93,07084
__import__.supplierinfo_79192-8201407,13.93,07085
__import__.supplierinfo_79192-8201413,13.93,07086
__import__.supplierinfo_79192-8201436,13.93,07087
__import__.supplierinfo_79192-8201442,13.93,07088
__import__.supplierinfo_79192-8201459,13.93,07089
__import__.supplierinfo_79192-8201465,13.93,07090
__import__.supplierinfo_79192-8201471,13.93,07091
__import__.supplierinfo_79192-8201488,13.93,07092
__import__.supplierinfo_79192-8201494,13.93,07093
__import__.supplierinfo_79192-8201502,13.93,07094
__import__.supplierinfo_79192-8201519,13.93,07095
__import__.supplierinfo_79192-8201525,13.93,07096
__import__.supplierinfo_79192-8201531,13.93,07097
__import__.supplierinfo_79192-8201548,13.93,07098
__import__.supplierinfo_79192-8201554,13.93,07099
__import__.supplierinfo_79192-8201560,13.93,07100
__import__.supplierinfo_79192-8201577,13.93,07101
__import__.supplierinfo_79192-8201583,13.93,07102
__import__.supplierinfo_79192-8201608,13.93,07103
__import__.supplierinfo_79192-8201614,13.93,07104
__import__.supplierinfo_79192-8201621,13.93,07105
__import__.supplierinfo_79192-8207723,27.30,03623
__import__.supplierinfo_79192-8215289,13.90,04329
__import__.supplierinfo_79192-8215295,13.90,04330
__import__.supplierinfo_79192-8215303,15.15,04331
__import__.supplierinfo_79192-8215326,15.15,04332
__import__.supplierinfo_79192-8215332,15.15,04333
__import__.supplierinfo_79192-8215349,15.15,04334
