id,name,categ_id/id
__import__.product_0907501,"BATTERIE 7,2V PR BALANCE DIG.SOEH",specific_data.product_categ__mat_equipement
__import__.product_0933978,PAPIER INDICATEUR PH,specific_data.product_categ__mat_conso
__import__.product_0961841,DEXON II USP000 24T3/8 9618-41 BT,specific_data.product_categ__mat_sutures
__import__.product_0981131,DEXON II USP0000 BIC75CM CV23 981,specific_data.product_categ__mat_sutures
__import__.product_1006210,SIEGE ERGONOMIQUE SDVET DEMO,specific_data.product_categ__mat_equipement
__import__.product_1006380,PAPIER TOILETTE EXTRA DOUX 4 PLIS,specific_data.product_categ__mat_conso
__import__.product_1015612,LAMES STERILES FIG12D MARTIN,specific_data.product_categ__mat_conso
__import__.product_1015615,LAMES STERILES 15C MARTIN,specific_data.product_categ__mat_conso
__import__.product_101910,TIUM XCEED FREESTYLE H HOUSSE LEC,specific_data.product_categ__mat_equipement
__import__.product_1021590,ECORNEUR HORN'UP 700°C,specific_data.product_categ__mat_equipement
__import__.product_1022799,BATTERIE LAMPE A FENTE KOWA SL15L,specific_data.product_categ__mat_equipement
__import__.product_1023420,BRASSARD PETMAP/VET BP N1 H2cm x L3-6cm,specific_data.product_categ__mat_conso
__import__.product_1023430,BRASSARD PETMAP/VET BP N3 H4cm x L6-11cm,specific_data.product_categ__mat_conso
__import__.product_1023440,"BRASSARD PETMAP/VET BP N4 H4,5cmxL7-13cm",specific_data.product_categ__mat_conso
__import__.product_1023450,"BRASSARD PETMAP/VET BP N5 H5,6cmxL8-15cm",specific_data.product_categ__mat_conso
__import__.product_1031039,IM3 KIT 4 ELEVATEURS MANCHE ARRON,specific_data.product_categ__mat_dentisterie
__import__.product_1037258,"NOVOFINE 100 AIG 31G 0,25x6mm",specific_data.product_categ__mat_conso
__import__.product_1038000,OCCASION DATEX S5 MULTIPARAM COMP,specific_data.product_categ__mat_occasion
__import__.product_1050602,BLOUSE CHEROKEE 2 POCHES VIOLET M,__temp__.product_categ_undefined
__import__.product_1072750,"IDEALPLAST 08cmx2,5m",__temp__.product_categ_undefined
__import__.product_1094747,GELULES 000 BTE 1000,__temp__.product_categ_undefined
__import__.product_1101161,MECHE DE GAZE 1CMx5M,specific_data.product_categ__mat_conso
__import__.product_1103367,TENASAN LA 20% 100ML,specific_data.product_categ__antimicrobiens
__import__.product_1105061,BLOUSE UNISEXE PINK 2 POCHES TAIL,specific_data.product_categ__mat_equipement
__import__.product_1121276,ATRAUMAN COMPRESSE 5x5cm STER 10P,__temp__.product_categ_undefined
__import__.product_1141860,HYDROFILM 06x09CM BTE DE 10,__temp__.product_categ_undefined
__import__.product_1141886,HYDROFILM 10x15CM BTE DE 10,__temp__.product_categ_undefined
__import__.product_1141894,HYDROFILM 10x15cm bte de 50,__temp__.product_categ_undefined
__import__.product_1141902,HYDROFILM 12x25CM BTE DE 10,__temp__.product_categ_undefined
__import__.product_1141910,HYDROFILM 12x25CM BTE DE 30,__temp__.product_categ_undefined
__import__.product_1148915,"OPSITE POST-OP 6,5x5CM",__temp__.product_categ_undefined
__import__.product_1162874,COLD-HOT MAXI 20X30CM,__temp__.product_categ_undefined
__import__.product_1177553,PANTALON CHIRURGIE BLEU CIEL,__temp__.product_categ_undefined
__import__.product_1180034,BOVIFERM PLUS 6x115GR,specific_data.product_categ__vitamines
__import__.product_1184105,BRAUN SUPRAMID USP4 EP6 25M,specific_data.product_categ__mat_sut_bobine
__import__.product_1188259,RHINOBOVIN MARKER INACTIVE 20ML 1,specific_data.product_categ__vaccins
__import__.product_1190308,PUPPY PROTECH LAIT 300GR,specific_data.product_categ__ali_comp
